frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_elbow_x,l_elbow_y,l_elbow_z,l_elbow_vis,l_wrist_x,l_wrist_y,l_wrist_z,l_wrist_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_elbow_x,r_elbow_y,r_elbow_z,r_elbow_vis,r_wrist_x,r_wrist_y,r_wrist_z,r_wrist_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.5228471159934998,0.3833025097846985,-0.11944039911031723,0.9999494552612305,0.5342845916748047,0.4656221270561218,-0.10811277478933334,0.9939749836921692,0.5310181379318237,0.5365110039710999,-0.18784259259700775,0.9835931062698364,0.5064616799354553,0.5305113196372986,-0.004149339161813259,0.9998645782470703,0.5125361084938049,0.6324697136878967,-0.08682046830654144,0.9891568422317505,0.5115078687667847,0.747886598110199,-0.007534144911915064,0.99140864610672,0.4431678056716919,0.3847951292991638,-0.09364348649978638,0.999969482421875,0.42994260787963867,0.46412360668182373,-0.06859546899795532,0.9837580323219299,0.42927804589271545,0.5380995869636536,-0.14706528186798096,0.9711452722549438,0.460867315530777,0.5274536609649658,0.004072814714163542,0.9998971223831177,0.45494920015335083,0.6282275319099426,-0.060012586414813995,0.9936528205871582,0.46131768822669983,0.7371559143066406,0.038245003670454025,0.9921574592590332
1,0.5229954123497009,0.3833521604537964,-0.11929456889629364,0.9999474883079529,0.5382356643676758,0.464436799287796,-0.09611165523529053,0.9941156506538391,0.5377276539802551,0.5362294912338257,-0.16554899513721466,0.9836926460266113,0.5064613223075867,0.5307485461235046,-0.004370662849396467,0.9998235106468201,0.5112565159797668,0.632722795009613,-0.029741182923316956,0.989046037197113,0.5112314224243164,0.7475475072860718,0.06129069998860359,0.9912141561508179,0.44325950741767883,0.38546621799468994,-0.09387591481208801,0.9999681711196899,0.4296453893184662,0.46432581543922424,-0.06038224324584007,0.9827278852462769,0.4254292845726013,0.5381157398223877,-0.13442587852478027,0.9702187180519104,0.46072548627853394,0.5278335213661194,0.00430947495624423,0.9998786449432373,0.45623016357421875,0.6282294392585754,-0.046946149319410324,0.9937201738357544,0.4623616933822632,0.7373237013816833,0.06300508975982666,0.992274820804596
2,0.5235276818275452,0.3849460482597351,-0.1468942016363144,0.9999472498893738,0.5411710739135742,0.46465691924095154,-0.11756307631731033,0.9943519830703735,0.543799102306366,0.5367538332939148,-0.17007416486740112,0.9836928844451904,0.505687952041626,0.5306962728500366,-0.00546561973169446,0.9998016357421875,0.5080081820487976,0.631618857383728,-0.04841196909546852,0.9885051250457764,0.5105255842208862,0.7474654912948608,0.03614729642868042,0.991008996963501,0.4437400698661804,0.3866438567638397,-0.11509590595960617,0.999967634677887,0.42928701639175415,0.4641171395778656,-0.06959851831197739,0.9821851849555969,0.41772836446762085,0.5373790264129639,-0.13618814945220947,0.9696506261825562,0.4600280225276947,0.5277097821235657,0.005404290277510881,0.9998651742935181,0.45654961466789246,0.6281008124351501,-0.04842803254723549,0.993514895439148,0.4628047049045563,0.737384021282196,0.055368710309267044,0.9921426177024841
3,0.5238967537879944,0.3859311640262604,-0.1504957228899002,0.9999473690986633,0.542142927646637,0.4647909998893738,-0.12254536151885986,0.9945803284645081,0.5451626181602478,0.5370448231697083,-0.17790360748767853,0.9837114810943604,0.5048661828041077,0.5306527018547058,-0.006177491974085569,0.9997844696044922,0.5066128373146057,0.630886435508728,-0.05598805472254753,0.9880437850952148,0.5101044774055481,0.7474272847175598,0.026006096974015236,0.990864098072052,0.4439946711063385,0.38736170530319214,-0.1181713119149208,0.999967098236084,0.4289669990539551,0.46393629908561707,-0.07347524166107178,0.9818124771118164,0.41578954458236694,0.5368576645851135,-0.13652953505516052,0.9691476225852966,0.45914503931999207,0.5274896025657654,0.00611379649490118,0.9998531341552734,0.456768661737442,0.6280908584594727,-0.05061233416199684,0.9933111071586609,0.4631006717681885,0.7375487685203552,0.052366361021995544,0.9919916391372681
4,0.5238913297653198,0.3858646750450134,-0.14452049136161804,0.9999486207962036,0.5430100560188293,0.46102291345596313,-0.12257368117570877,0.9946829080581665,0.552791178226471,0.5333474278450012,-0.18864130973815918,0.9834637641906738,0.5048914551734924,0.5293731689453125,-0.006155970972031355,0.9997628331184387,0.5067896246910095,0.6279777884483337,-0.09986894577741623,0.987158477306366,0.5099714398384094,0.746155858039856,-0.042881447821855545,0.9902758598327637,0.44416770339012146,0.3878712058067322,-0.11464164406061172,0.9999668002128601,0.426608145236969,0.46318766474723816,-0.07474557310342789,0.9813782572746277,0.40780577063560486,0.5339934229850769,-0.1431339532136917,0.9681206941604614,0.4591754972934723,0.5272988080978394,0.006097530480474234,0.9998413920402527,0.4568774998188019,0.6239873766899109,-0.12256298214197159,0.9929425716400146,0.4633687734603882,0.7375519871711731,-0.03763622045516968,0.991506040096283
5,0.5238272547721863,0.38581734895706177,-0.17565445601940155,0.9999522566795349,0.5463386178016663,0.45839792490005493,-0.16024596989154816,0.9950692057609558,0.5653167366981506,0.5292661190032959,-0.23233577609062195,0.9846072793006897,0.5049113035202026,0.5292620658874512,-0.0052666268311440945,0.999757707118988,0.5067089200019836,0.627606987953186,-0.10649656504392624,0.9865918755531311,0.5099824070930481,0.7460305094718933,-0.050007931888103485,0.9898778796195984,0.44411781430244446,0.3881749212741852,-0.13764910399913788,0.9999674558639526,0.4232974052429199,0.4621495306491852,-0.09289341419935226,0.9817265272140503,0.39653098583221436,0.5299255847930908,-0.16102714836597443,0.9680709838867188,0.4590941071510315,0.5272895693778992,0.005265236832201481,0.9998381733894348,0.4572632610797882,0.6233380436897278,-0.15648652613162994,0.9928228855133057,0.4634140729904175,0.7378514409065247,-0.08048273622989655,0.9912251234054565
6,0.5238742828369141,0.38578036427497864,-0.17975440621376038,0.9999554753303528,0.5492867231369019,0.45136019587516785,-0.16564831137657166,0.9953771233558655,0.5754121541976929,0.5106273889541626,-0.24872463941574097,0.98545241355896,0.504931628704071,0.5285323262214661,-0.0035194670781493187,0.9997329115867615,0.5068215727806091,0.6278226971626282,-0.07918709516525269,0.985980749130249,0.5099905729293823,0.7459328174591064,-0.01887279376387596,0.9897493720054626,0.4440000057220459,0.38812875747680664,-0.15873436629772186,0.9999679327011108,0.41815629601478577,0.45841795206069946,-0.12680953741073608,0.9827645421028137,0.38684606552124023,0.5210219621658325,-0.20158687233924866,0.9689731001853943,0.4590756893157959,0.5269457101821899,0.0035444130189716816,0.9998100399971008,0.4572966992855072,0.6235880255699158,-0.12035680562257767,0.9923633337020874,0.46304628252983093,0.7381426095962524,-0.06569184362888336,0.9908735156059265
7,0.5238237380981445,0.38469886779785156,-0.17642982304096222,0.9999580383300781,0.5540209412574768,0.4448865056037903,-0.15788990259170532,0.9956824779510498,0.5874904990196228,0.5030635595321655,-0.23676085472106934,0.9863941073417664,0.5049452781677246,0.5283145904541016,-0.00238994462415576,0.9997067451477051,0.506820797920227,0.6301445364952087,-0.006814915221184492,0.9858337044715881,0.509992778301239,0.7459399104118347,0.0889141708612442,0.9897935390472412,0.44371581077575684,0.38707369565963745,-0.1634448915719986,0.9999673962593079,0.4142098128795624,0.45205819606781006,-0.1336665153503418,0.9835638999938965,0.37615305185317993,0.5083369016647339,-0.2103610336780548,0.9696313142776489,0.4591047465801239,0.5266057848930359,0.0024143573828041553,0.999790370464325,0.45778152346611023,0.6252259016036987,-0.04300756752490997,0.9922211170196533,0.4625093936920166,0.7386312484741211,0.06399109214544296,0.9909651279449463
8,0.5234569907188416,0.38128793239593506,-0.18995174765586853,0.9999606013298035,0.5609953999519348,0.4384251534938812,-0.17265434563159943,0.9960157871246338,0.6022140979766846,0.4952916204929352,-0.2537958323955536,0.9873533248901367,0.5049076080322266,0.5270314812660217,-0.0025064509827643633,0.9996892809867859,0.5066142082214355,0.6306139230728149,0.013033700175583363,0.9860777258872986,0.5099875330924988,0.7458502650260925,0.11792845278978348,0.9900139570236206,0.44287142157554626,0.3849404454231262,-0.17703877389431,0.9999676942825317,0.40724098682403564,0.44645291566848755,-0.14809341728687286,0.9846453070640564,0.3637068271636963,0.4949541687965393,-0.23110751807689667,0.9713228344917297,0.4591807425022125,0.5255534052848816,0.0025397678837180138,0.9997766017913818,0.45832687616348267,0.6265071630477905,-0.011506090871989727,0.9920123219490051,0.46195319294929504,0.7395889163017273,0.09982790052890778,0.9911262392997742
9,0.523138165473938,0.3799612820148468,-0.19154641032218933,0.999963104724884,0.5617128610610962,0.43641728162765503,-0.17682258784770966,0.9963294267654419,0.6034109592437744,0.49394741654396057,-0.2596605122089386,0.9882670044898987,0.5048431754112244,0.5264707803726196,-0.0033096002880483866,0.9996768236160278,0.5066127777099609,0.6307743191719055,-0.0005170935764908791,0.9861956834793091,0.5099855065345764,0.7460141777992249,0.09975408017635345,0.9902312755584717,0.4424917697906494,0.38357457518577576,-0.17485204339027405,0.9999679923057556,0.406259149312973,0.44346895813941956,-0.14556115865707397,0.9855225682258606,0.3631651997566223,0.49318140745162964,-0.23098613321781158,0.9726454615592957,0.45927101373672485,0.5249964594841003,0.003357149427756667,0.9997670650482178,0.45830458402633667,0.6272369623184204,-0.026904212310910225,0.9918148517608643,0.4616999626159668,0.7403018474578857,0.0834689661860466,0.9912942051887512
