frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.7312971353530884,0.47202062606811523,-0.4971214830875397,0.9999030828475952,0.7250795960426331,0.6370896100997925,-0.17357192933559418,0.9967172741889954,0.7169848680496216,0.7523256540298462,-0.02967837266623974,0.9645651578903198,0.7814435958862305,0.8621224164962769,0.1631249189376831,0.9705286622047424,0.6852243542671204,0.4725470542907715,0.05437565594911575,0.9973637461662292,0.6928942799568176,0.6359090209007263,0.17337743937969208,0.991517961025238,0.7012079358100891,0.7417805790901184,0.33714306354522705,0.4384608268737793,0.7559064030647278,0.8415557742118835,0.5810823440551758,0.5093038082122803
1,0.7268552184104919,0.4716324508190155,-0.5550071001052856,0.9999105930328369,0.7140316963195801,0.6355243921279907,-0.19212064146995544,0.9968997836112976,0.7072887420654297,0.7486083507537842,-0.07053925096988678,0.9652104377746582,0.7751984596252441,0.8606289029121399,0.1315155327320099,0.9721960425376892,0.6839647889137268,0.47249844670295715,0.05430922284722328,0.9974918365478516,0.6862596869468689,0.6349353790283203,0.19180595874786377,0.9919876456260681,0.685981273651123,0.7408646941184998,0.3055526912212372,0.44627144932746887,0.7542016506195068,0.8415564894676208,0.5644152164459229,0.5252869725227356
2,0.7177721261978149,0.47134044766426086,-0.545412540435791,0.9999175071716309,0.6980881690979004,0.6346302628517151,-0.19194047152996063,0.9971462488174438,0.6794432997703552,0.7463774085044861,-0.1217910572886467,0.9648951292037964,0.7623332738876343,0.8583265542984009,0.03044733963906765,0.9732517600059509,0.6853994131088257,0.4722380042076111,0.09203799813985825,0.9976233839988708,0.6848816871643066,0.633033037185669,0.1916539967060089,0.99260014295578,0.684806227684021,0.7377667427062988,0.2866780459880829,0.44945695996284485,0.7520937919616699,0.841772198677063,0.4610729515552521,0.5362350344657898
3,0.7143201231956482,0.47134795784950256,-0.5387294292449951,0.9999237656593323,0.6942903995513916,0.6336721777915955,-0.19122947752475739,0.9973665475845337,0.6715087294578552,0.7444883584976196,-0.13460105657577515,0.965305745601654,0.7576731443405151,0.8563147783279419,0.006799279246479273,0.9745574593544006,0.6857444047927856,0.47224289178848267,0.09437062591314316,0.9977532029151917,0.6840910911560059,0.6310610175132751,0.19095152616500854,0.9931548237800598,0.6840700507164001,0.7359416484832764,0.2728712558746338,0.45621171593666077,0.7502299547195435,0.8420340418815613,0.4324170649051666,0.5512523651123047
4,0.7138413190841675,0.47051364183425903,-0.5306807160377502,0.999928891658783,0.6986448168754578,0.6327125430107117,-0.190907821059227,0.9975351095199585,0.6501203179359436,0.7432954907417297,-0.06764411181211472,0.9682669639587402,0.7203033566474915,0.8561520576477051,0.14814677834510803,0.9761033654212952,0.6839643716812134,0.47144410014152527,0.08712559938430786,0.997935950756073,0.6942048668861389,0.6302549242973328,0.19053183495998383,0.9936971664428711,0.6896684169769287,0.7361994981765747,0.3120812177658081,0.48532283306121826,0.7557789087295532,0.8449462652206421,0.5326936841011047,0.5847460627555847
5,0.7145112752914429,0.4705248773097992,-0.48683109879493713,0.9999357461929321,0.7007780075073242,0.6299479603767395,-0.19407080113887787,0.9977542161941528,0.635826051235199,0.7416493892669678,-0.08418736606836319,0.9706557393074036,0.6552082896232605,0.8610450625419617,0.10137800872325897,0.9778923392295837,0.6708634495735168,0.4722155034542084,0.1897982656955719,0.9981308579444885,0.6933207511901855,0.6295983195304871,0.19385506212711334,0.9942840933799744,0.7001301646232605,0.7370427846908569,0.3059041202068329,0.5152988433837891,0.7735669016838074,0.8475391268730164,0.48915955424308777,0.6194510459899902
6,0.7154619097709656,0.4689389169216156,-0.4404034912586212,0.9999420642852783,0.704036295413971,0.6271528005599976,-0.19573062658309937,0.997940719127655,0.6200301051139832,0.7406227588653564,-0.14144492149353027,0.9694793224334717,0.5986196994781494,0.8644545674324036,-0.03944828733801842,0.978766143321991,0.6569939851760864,0.47208765149116516,0.2419338971376419,0.9983119368553162,0.6888300180435181,0.6263502836227417,0.19554607570171356,0.9947891235351562,0.703561544418335,0.7374354004859924,0.24931839108467102,0.5232072472572327,0.7781708240509033,0.8498162627220154,0.3473854959011078,0.6433107852935791
7,0.7157005667686462,0.46974918246269226,-0.4306057393550873,0.9999470710754395,0.7044903039932251,0.6280142664909363,-0.1958138346672058,0.9980942606925964,0.607243537902832,0.7412555813789368,-0.20229358971118927,0.9614313840866089,0.544437825679779,0.868363082408905,-0.14958661794662476,0.9784305095672607,0.6525912284851074,0.4713985323905945,0.26566800475120544,0.9984754920005798,0.6881142854690552,0.626918613910675,0.19571897387504578,0.9952407479286194,0.7070408463478088,0.7386425733566284,0.27119919657707214,0.5105997920036316,0.7838698625564575,0.8509030938148499,0.38745471835136414,0.6545926928520203
8,0.7155437469482422,0.4730558395385742,-0.39695706963539124,0.9999467134475708,0.7048035264015198,0.630556583404541,-0.19482624530792236,0.9982167482376099,0.6003482937812805,0.7433652877807617,-0.235312819480896,0.953334391117096,0.5023021101951599,0.8674771785736084,-0.23256781697273254,0.9788963794708252,0.6460863351821899,0.472304105758667,0.27188044786453247,0.9986125826835632,0.6853618025779724,0.6278150081634521,0.19472655653953552,0.9956340193748474,0.7130381464958191,0.7419912815093994,0.27796801924705505,0.491216778755188,0.7883443832397461,0.8518272042274475,0.3927963078022003,0.6669647097587585
9,0.7142964601516724,0.4760081171989441,-0.4045499563217163,0.9999452829360962,0.7050427794456482,0.6323374509811401,-0.19424715638160706,0.9983269572257996,0.5982226729393005,0.7451751232147217,-0.22237810492515564,0.9455624222755432,0.49761584401130676,0.8669227361679077,-0.20295114815235138,0.9792256355285645,0.6492456197738647,0.47230830788612366,0.2782374322414398,0.9987359642982483,0.6850724220275879,0.6279125213623047,0.1941862255334854,0.9959946870803833,0.7166993021965027,0.7440802454948425,0.28423812985420227,0.4753611087799072,0.7900167107582092,0.8521134257316589,0.40422144532203674,0.676996111869812
