frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.45507192611694336,0.2852090299129486,-0.24722762405872345,0.9996453523635864,0.4943629205226898,0.5422053933143616,-0.13336139917373657,0.999007523059845,0.4228448271751404,0.7236613631248474,-0.11389157921075821,0.9775084257125854,0.4640115201473236,0.9253683090209961,-0.0219157375395298,0.9920446872711182
1,0.45400339365005493,0.2895321249961853,-0.24002590775489807,0.9996455311775208,0.49445509910583496,0.5422046184539795,-0.1324923038482666,0.999026358127594,0.4228442311286926,0.7230873107910156,-0.11237778514623642,0.9773786067962646,0.4639917314052582,0.9238777160644531,-0.017308946698904037,0.9920256733894348
2,0.45415663719177246,0.28948110342025757,-0.24179884791374207,0.9996539950370789,0.49436917901039124,0.538076639175415,-0.13163533806800842,0.9990098476409912,0.42319193482398987,0.7219162583351135,-0.10323576629161835,0.9769168496131897,0.46399521827697754,0.9221769571304321,-0.0017910071182996035,0.9918639659881592
3,0.4541916251182556,0.28300148248672485,-0.24926385283470154,0.9996618032455444,0.49341195821762085,0.5321723818778992,-0.13032788038253784,0.9989550113677979,0.4238250255584717,0.7206971049308777,-0.09608122706413269,0.9759213328361511,0.46398860216140747,0.9220699667930603,0.003474924247711897,0.9915713667869568
4,0.4544537663459778,0.27551203966140747,-0.25717461109161377,0.9996818900108337,0.49120384454727173,0.5272989273071289,-0.13029427826404572,0.9989378452301025,0.4256426692008972,0.7196958065032959,-0.08549551665782928,0.9751770496368408,0.4642028212547302,0.9221853613853455,0.02004282921552658,0.9913561344146729
5,0.4550122618675232,0.26829323172569275,-0.2555161714553833,0.9997066259384155,0.488128662109375,0.521930992603302,-0.13031989336013794,0.9989439249038696,0.42768868803977966,0.7190141677856445,-0.0727531760931015,0.9751092195510864,0.46420174837112427,0.9220801591873169,0.036915961652994156,0.9913743138313293
6,0.4558662474155426,0.2627887427806854,-0.2548401653766632,0.9997319579124451,0.48421111702919006,0.5175285339355469,-0.13022847473621368,0.9989800453186035,0.4301280975341797,0.7176156044006348,-0.06746579706668854,0.9744961261749268,0.4642038941383362,0.9202868938446045,0.03665134683251381,0.9913511872291565
7,0.45586222410202026,0.2642596662044525,-0.26553088426589966,0.9997527003288269,0.4826219081878662,0.5171473026275635,-0.13027001917362213,0.9989848732948303,0.43139228224754333,0.7175782918930054,-0.06326217204332352,0.9733167886734009,0.46438735723495483,0.9178169965744019,0.045458462089300156,0.9912441372871399
8,0.4563731253147125,0.2590377628803253,-0.26223471760749817,0.9997724890708923,0.4807150959968567,0.5135141015052795,-0.1302889585494995,0.9990121722221375,0.4328003525733948,0.7157781720161438,-0.06594298034906387,0.9722496271133423,0.4646245539188385,0.9170941710472107,0.03612122684717178,0.9909492135047913
9,0.4563825726509094,0.2561049163341522,-0.26049619913101196,0.9997866153717041,0.47774672508239746,0.5112097859382629,-0.12991583347320557,0.9990053176879883,0.4344116747379303,0.7139027714729309,-0.06929896771907806,0.9704553484916687,0.46499118208885193,0.917210578918457,0.029237980023026466,0.9904386401176453
10,0.45607465505599976,0.2551080584526062,-0.2584327161312103,0.9997930526733398,0.47434958815574646,0.5081735253334045,-0.12714672088623047,0.998988926410675,0.4368482530117035,0.7130008339881897,-0.07170464098453522,0.9692156910896301,0.4657316207885742,0.9168409705162048,-0.0066329119727015495,0.990031898021698
11,0.4560607969760895,0.2520661950111389,-0.24939456582069397,0.9998026490211487,0.47136980295181274,0.5034382939338684,-0.12319205701351166,0.9990229606628418,0.43902334570884705,0.7123501896858215,-0.10538935661315918,0.9673624634742737,0.46673208475112915,0.9173094630241394,-0.07464029639959335,0.9894906282424927
12,0.4566146731376648,0.24989505112171173,-0.23324434459209442,0.99980229139328,0.46800121665000916,0.49857059121131897,-0.11904384195804596,0.999042272567749,0.4418583810329437,0.7114258408546448,-0.12392884492874146,0.9641537070274353,0.4680158495903015,0.9187748432159424,-0.10985559225082397,0.9882218241691589
13,0.45720067620277405,0.2472997009754181,-0.22863173484802246,0.9998003840446472,0.4667862057685852,0.49658772349357605,-0.11996348947286606,0.999035656452179,0.4427102506160736,0.7091971635818481,-0.11858810484409332,0.9588453769683838,0.46799278259277344,0.9190706014633179,-0.0941365584731102,0.9861391186714172
14,0.4577844738960266,0.2441299706697464,-0.2686496376991272,0.9998053908348083,0.4633072316646576,0.4933687448501587,-0.1200917512178421,0.9990216493606567,0.44436946511268616,0.7063299417495728,-0.11225823312997818,0.9546852707862854,0.46793514490127563,0.9160313010215759,-0.06390261650085449,0.9848543405532837
15,0.4575418531894684,0.2428450733423233,-0.30959808826446533,0.9998164176940918,0.4606594145298004,0.4909427762031555,-0.11982963979244232,0.9990288019180298,0.44668784737586975,0.7053561210632324,-0.11043717712163925,0.9505735635757446,0.46788305044174194,0.9152724146842957,-0.04362552985548973,0.9835190176963806
16,0.4573187828063965,0.24041864275932312,-0.3218368887901306,0.9998307824134827,0.45988792181015015,0.48715779185295105,-0.11961638927459717,0.9990434646606445,0.44824495911598206,0.7033891677856445,-0.10758235305547714,0.9465053677558899,0.46767401695251465,0.9153897762298584,-0.030607659369707108,0.98164302110672
17,0.4572036862373352,0.23662033677101135,-0.3072517216205597,0.9998453855514526,0.45872536301612854,0.48295655846595764,-0.11916366964578629,0.999057948589325,0.448164165019989,0.7017043828964233,-0.10571475327014923,0.9440890550613403,0.4676473140716553,0.9154597520828247,-0.030623111873865128,0.9796802997589111
18,0.4565851092338562,0.23419785499572754,-0.2975497841835022,0.9998592734336853,0.45584648847579956,0.4818061888217926,-0.11944154649972916,0.9990805387496948,0.44856104254722595,0.7007330060005188,-0.10617872327566147,0.944118082523346,0.4676838517189026,0.9149094223976135,-0.035417526960372925,0.9786903262138367
19,0.45640239119529724,0.23499366641044617,-0.2948135733604431,0.9998714923858643,0.4559400975704193,0.48313871026039124,-0.11895065009593964,0.999082088470459,0.4485350549221039,0.7011815905570984,-0.10589797794818878,0.943503737449646,0.4681004583835602,0.9149864315986633,-0.033355239778757095,0.977315366268158
20,0.456735223531723,0.234512060880661,-0.29176414012908936,0.9998802542686462,0.45525866746902466,0.48413166403770447,-0.11675192415714264,0.9990699291229248,0.44909077882766724,0.7014386057853699,-0.10535091161727905,0.9421238899230957,0.4684907793998718,0.9150423407554626,-0.0373709611594677,0.9762415289878845
21,0.456625372171402,0.23158274590969086,-0.25619903206825256,0.9998868703842163,0.45504850149154663,0.4846954047679901,-0.11657758057117462,0.9990429878234863,0.4495154321193695,0.7015135288238525,-0.10602102428674698,0.9417158365249634,0.4686006009578705,0.9155154824256897,-0.05129687860608101,0.975609302520752
22,0.4557696282863617,0.22963549196720123,-0.27417948842048645,0.9998958110809326,0.45432788133621216,0.48532164096832275,-0.11683312803506851,0.9990479946136475,0.44944992661476135,0.701676070690155,-0.10215838998556137,0.9431325197219849,0.4688340723514557,0.9157184362411499,-0.0473800003528595,0.9761309623718262
