frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_elbow_x,l_elbow_y,l_elbow_z,l_elbow_vis,l_wrist_x,l_wrist_y,l_wrist_z,l_wrist_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_elbow_x,r_elbow_y,r_elbow_z,r_elbow_vis,r_wrist_x,r_wrist_y,r_wrist_z,r_wrist_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.5167611440022787,0.3793340047200521,0.0,0.9973430037498474,0.5362223600729917,0.46042404174804685,0.0,0.9868198037147522,0.531412369165665,0.535426648457845,0.0,0.9696369767189026,0.5067528455685346,0.5311154365539551,0.0,0.9988452196121216,0.5101317870311248,0.6410024007161458,0.0,0.9964990615844727,0.5148848509177183,0.7522713979085286,0.0,0.9810492992401123,0.4448621211907802,0.3827415784200033,0.0,0.9959831237792969,0.42948649479792667,0.4647180239359538,0.0,0.9799521565437317,0.4283763689872546,0.5331148783365885,0.0,0.9604470729827881,0.4591204814421825,0.5316384951273601,0.0,0.9986498951911926,0.45382485022911656,0.6371363321940104,0.0,0.9961625337600708,0.45964505122258115,0.745687739054362,0.0,0.9806078672409058
1,0.5175298544076773,0.37951405843098956,0.0,0.997032642364502,0.5404471372946714,0.4569817225138346,0.0,0.9846096038818359,0.5395274529090295,0.5301243464152018,0.0,0.966006338596344,0.5069067050249149,0.5310848871866862,0.0,0.9987645149230957,0.511074212881235,0.6395756403605143,0.0,0.9963082671165466,0.5146651145739433,0.7491600672403972,0.0,0.9806267619132996,0.4443416106395232,0.3843393325805664,0.0,0.9963757395744324,0.4271645179161659,0.4650286038716634,0.0,0.9823435544967651,0.4230818626208183,0.5343051274617513,0.0,0.9638508558273315,0.4589698987129407,0.5323180834452311,0.0,0.9986982345581055,0.4547732915633764,0.6367880503336588,0.0,0.9963489770889282,0.4600012363531651,0.7443849563598632,0.0,0.9814013838768005
2,0.518465580084385,0.38025423685709636,0.0,0.9966050386428833,0.542689690223107,0.45762996673583983,0.0,0.9817367792129517,0.5430583953857422,0.5309223492940267,0.0,0.960120439529419,0.5065823090382111,0.5311589558919271,0.0,0.9985103011131287,0.5109379108135517,0.6389459609985352,0.0,0.9957394599914551,0.5149561564127604,0.7468104680379232,0.0,0.9789755940437317,0.4440014178936298,0.38473278681437173,0.0,0.9960656762123108,0.4243175800030048,0.46487064361572267,0.0,0.9804218411445618,0.4147340823442508,0.5368766784667969,0.0,0.9594062566757202,0.4581961020445212,0.5320531527201334,0.0,0.9984721541404724,0.4544247847336989,0.6351064046223959,0.0,0.9958831071853638,0.4609717833690154,0.7413397471110026,0.0,0.9801480770111084
3,0.5185029934614133,0.38004128138224286,0.0,0.9967175126075745,0.5428392459184695,0.4574028333028158,0.0,0.9825218915939331,0.5440133901742789,0.5314393997192383,0.0,0.9615662693977356,0.5067096123328576,0.5309721310933431,0.0,0.9985563158988953,0.5108520801250751,0.6390817642211915,0.0,0.9958329796791077,0.5148166265243139,0.7472366333007813,0.0,0.979168176651001,0.44401936653332835,0.3846777280171712,0.0,0.9960719347000122,0.42426378299028444,0.46510883967081706,0.0,0.9804234504699707,0.4148674011230469,0.5371331532796224,0.0,0.9595681428909302,0.4583431146083734,0.5319240252176921,0.0,0.9984936714172363,0.4544215569129357,0.6351255416870117,0.0,0.995901882648468,0.4610273899176182,0.7413377126057943,0.0,0.9801093339920044
4,0.5174673031537961,0.380642573038737,0.0,0.9974293112754822,0.546110104291867,0.45713764826456704,0.0,0.986974835395813,0.5542847070938501,0.528190549214681,0.0,0.972507894039154,0.502288818359375,0.5300875345865885,0.0,0.999116837978363,0.5095012371356671,0.637415059407552,0.0,0.9975392818450928,0.517082018729968,0.7455783208211263,0.0,0.9873754978179932,0.44373551393166566,0.3838210105895996,0.0,0.9971888661384583,0.4204098139053736,0.4606661160786947,0.0,0.9849243760108948,0.4042186492528671,0.5293148994445801,0.0,0.9689379930496216,0.4548753591684195,0.5302543004353841,0.0,0.9990490078926086,0.451995116013747,0.633624267578125,0.0,0.9975606203079224,0.45856984456380206,0.7415333429972331,0.0,0.9879671931266785
5,0.5163051409599109,0.3801105499267578,0.0,0.9973294734954834,0.5490513336964142,0.4538487752278646,0.0,0.9882053136825562,0.5698008415026542,0.5220692952473959,0.0,0.9763848185539246,0.5032887092003455,0.5299196243286133,0.0,0.9990981817245483,0.5096733875763721,0.6399035771687825,0.0,0.9978844523429871,0.5165678171011118,0.7478082021077473,0.0,0.9893736243247986,0.4449302477714343,0.38158833185831703,0.0,0.9968563318252563,0.4166687696408003,0.4576509157816569,0.0,0.9844217300415039,0.3942295221182016,0.5203962008158366,0.0,0.9712367653846741,0.4574574201534956,0.5294395764668782,0.0,0.9989951252937317,0.45393156393980366,0.6351078033447266,0.0,0.9978318810462952,0.45690203935672075,0.7419977188110352,0.0,0.989693820476532
6,0.5180592170128455,0.37906773885091144,0.0,0.9977194666862488,0.554142340635642,0.4483090082804362,0.0,0.9882773756980896,0.5812675280448718,0.5099898338317871,0.0,0.9730315208435059,0.5066335140130459,0.5285386721293132,0.0,0.9991164803504944,0.5111208206568009,0.6391486485799154,0.0,0.9973779916763306,0.515843269152519,0.7495923360188802,0.0,0.984897792339325,0.44391524486052686,0.3833772659301758,0.0,0.9970721006393433,0.4123572814158904,0.4576487223307292,0.0,0.9854593276977539,0.3824443083543044,0.5175787607828776,0.0,0.9692239165306091,0.4598396496895032,0.5294136047363281,0.0,0.9990355968475342,0.4558823414337941,0.6335990905761719,0.0,0.9972906708717346,0.460291740221855,0.7419500350952148,0.0,0.9851750731468201
7,0.5169305067795974,0.3776571273803711,0.0,0.9979378581047058,0.5571824098244692,0.4415959040323893,0.0,0.9897512197494507,0.5874612270257412,0.4993673960367839,0.0,0.9770445823669434,0.5044525831173627,0.5260218620300293,0.0,0.9993070363998413,0.5093806829207983,0.6387128194173177,0.0,0.9980583786964417,0.5162948706211188,0.7507574081420898,0.0,0.9888655543327332,0.44310887654622394,0.3808887799580892,0.0,0.9974730610847473,0.40667306459867036,0.4507450103759766,0.0,0.9859360456466675,0.3714619905520708,0.5084281285603841,0.0,0.971312940120697,0.45840141100761217,0.526528263092041,0.0,0.9992058873176575,0.4547799428304036,0.6354275385538737,0.0,0.9979594945907593,0.45833827287722856,0.7472908020019531,0.0,0.9890093207359314
8,0.516802714421199,0.37453269958496094,0.0,0.9982781410217285,0.5622129684839493,0.4362471580505371,0.0,0.992339015007019,0.6022977095383865,0.49456396102905276,0.0,0.9817874431610107,0.5040060679117838,0.5231965382893881,0.0,0.9995137453079224,0.5084183032696064,0.6380179723103842,0.0,0.9986904263496399,0.5141999171330378,0.7515745798746745,0.0,0.9920797944068909,0.4424612094194461,0.37535149256388345,0.0,0.9972508549690247,0.4018461520855243,0.438801638285319,0.0,0.985152006149292,0.36130897815410906,0.48620179494222004,0.0,0.9710822701454163,0.4581455817589393,0.5230273882548014,0.0,0.9993626475334167,0.45498104584522736,0.634880002339681,0.0,0.9984452128410339,0.4580006232628456,0.7485255559285482,0.0,0.9915570020675659
9,0.5166863661545974,0.374604320526123,0.0,0.9982507824897766,0.5615363976894281,0.43543500900268556,0.0,0.9921097159385681,0.6013005085480518,0.4931967735290527,0.0,0.981332540512085,0.5041540096967648,0.5235988616943359,0.0,0.9994725584983826,0.5084177652994791,0.6388928095499674,0.0,0.9985525012016296,0.5141962002485226,0.7525084813435873,0.0,0.9911991953849792,0.44225369966947115,0.37586790720621743,0.0,0.9971963167190552,0.4021029839148888,0.4386807123819987,0.0,0.984603226184845,0.3630815652700571,0.4843088785807292,0.0,0.9702703356742859,0.45819884080153245,0.5236723899841309,0.0,0.999306321144104,0.45510248037484974,0.6359474817911784,0.0,0.9982712268829346,0.4580799004970453,0.749164072672526,0.0,0.9905681014060974
