frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,elbow_x,elbow_y,elbow_z,elbow_vis,wrist_x,wrist_y,wrist_z,wrist_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.1578656682428324,0.723363070308414,0.0,0.8455168604850769,0.16747866936449735,0.7497923144735552,0.0,0.7008154392242432,0.1658205176299473,0.738623774700085,0.0,0.5954879522323608,0.15386716374811135,0.8045433395577275,0.0,0.44657236337661743,0.16988478966479031,0.7527601808683643,0.0,0.27570840716362,0.16076017775625553,0.761694425319528,0.0,0.271317720413208
1,0.15781679693258033,0.7231905629944103,0.0,0.8545457124710083,0.16707386160796545,0.7492156727044652,0.0,0.7055829167366028,0.16475981586384322,0.7378572599658407,0.0,0.6004514098167419,0.1531516560968363,0.8057556790786807,0.0,0.4477803111076355,0.16988441179383476,0.7547526978049817,0.0,0.26492056250572205,0.16110970839014593,0.7643373880426255,0.0,0.2512533962726593
2,0.15804976337360885,0.723929880054426,0.0,0.8332012891769409,0.16753052765468382,0.7487094512045633,0.0,0.6737986207008362,0.16574161457565595,0.7390126503661087,0.0,0.5711656212806702,0.15381516150708469,0.802360055835676,0.0,0.44051748514175415,0.16955305495352116,0.7479548753554851,0.0,0.29866936802864075,0.16171469778384803,0.7598297885272294,0.0,0.3178934156894684
3,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
4,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
5,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
6,0.15953547999543963,0.7238562037256472,0.0,0.6729477643966675,0.1680662047188237,0.7277547924089631,0.0,0.4683407247066498,0.1687448429611494,0.7113519133883042,0.0,0.42121052742004395,0.15359954114230173,0.7918941226464435,0.0,0.37819647789001465,0.16610899511373267,0.728906160617972,0.0,0.41477078199386597,0.16188882431893978,0.7420107151175144,0.0,0.5792775750160217
7,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
8,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
9,0.7242441717183815,0.3655489678163409,0.0,0.9692511558532715,0.6872281488382591,0.4981992713577079,0.0,0.9441049098968506,0.7059514747475678,0.6925824536439266,0.0,0.8351329565048218,0.6349973858527418,0.3711534763479831,0.0,0.9787026047706604,0.6431942345961085,0.48517378803077604,0.0,0.9823058247566223,0.5969106206354106,0.6585406059999346,0.0,0.9641909599304199
10,0.7234528739497347,0.36454552686364083,0.0,0.9115061163902283,0.7170821855653007,0.4602221883989278,0.0,0.8464146852493286,0.7134360547335643,0.6315541287346365,0.0,0.7622337341308594,0.5965651746066112,0.3849993909253236,0.0,0.9548469185829163,0.6185447404969413,0.4461205135329498,0.0,0.9683863520622253,0.555343951819078,0.5779052478997777,0.0,0.9594064950942993
11,0.72789850774801,0.3655431260623693,0.0,0.9699649214744568,0.7061488313494988,0.4865080063313121,0.0,0.9619401693344116,0.7153839255278965,0.650038715186977,0.0,0.9105272889137268,0.6130271047916053,0.37267929140992745,0.0,0.984379768371582,0.6413423790121978,0.46303705191512484,0.0,0.9886848330497742,0.5846362563799012,0.6351217485371993,0.0,0.9786965847015381
12,0.7190012661915905,0.3635007148008466,0.0,0.9698087573051453,0.7111321215359669,0.48856781516613823,0.0,0.9524186253547668,0.7077029965958506,0.6907001958232545,0.0,0.8994047045707703,0.574934905430056,0.38478624671074135,0.0,0.9804245829582214,0.6018958181705115,0.4381984247822143,0.0,0.9811805486679077,0.5293927102718713,0.570429654300961,0.0,0.9679498672485352
13,0.7233121620034272,0.36473428255344537,0.0,0.9491225481033325,0.7081282993532577,0.46499225185506016,0.0,0.9202731251716614,0.7051812657770121,0.6318831822862186,0.0,0.8626295924186707,0.600701889901791,0.3847614431979766,0.0,0.9757508635520935,0.6029799839235702,0.4446775045354995,0.0,0.9768234491348267,0.5393481704424012,0.5587459548247908,0.0,0.9633218050003052
14,0.7296608978847288,0.3481476915431322,0.0,0.9839112758636475,0.7040665104704084,0.4440063412718194,0.0,0.9809884428977966,0.7141740906913325,0.6031804423950706,0.0,0.9504825472831726,0.6018590747185473,0.3735940845441619,0.0,0.9906069040298462,0.6110292110802993,0.44693954020863297,0.0,0.9888980984687805,0.5368334572270231,0.5988168756333355,0.0,0.9736959934234619
15,0.7315366493081147,0.34449847871788375,0.0,0.9835379719734192,0.7039829470076651,0.44372341523110614,0.0,0.9798494577407837,0.7139455687324956,0.6038751961297071,0.0,0.9501460790634155,0.6209259033203125,0.3599308923697372,0.0,0.9908393025398254,0.6307761714143573,0.4519886990471365,0.0,0.9911876916885376,0.5697589370439637,0.6244458952708224,0.0,0.9793649911880493
16,0.15853086507545328,0.5937596404901608,0.0,0.9636152386665344,0.1825624681868643,0.6181827050372647,0.0,0.8703833818435669,0.19964900106753944,0.6308930209491044,0.0,0.6873334646224976,0.15952205657958984,0.6868099068996797,0.0,0.9625758528709412,0.18072981204626695,0.7167340522031904,0.0,0.936788022518158,0.1873371736058649,0.7773012296924032,0.0,0.9016243815422058
17,0.7278194067613134,0.3452455528610421,0.0,0.9064344763755798,0.7036442306806456,0.4350290976807662,0.0,0.8711137175559998,0.7205981128620651,0.627418996898699,0.0,0.7905605435371399,0.6232085317935584,0.362586815486892,0.0,0.9612358212471008,0.6372153803987323,0.42141659788506797,0.0,0.978766679763794,0.5783829239179503,0.6225051560661284,0.0,0.9735610485076904
18,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
19,0.16836600033742077,0.7048028921981236,0.0,0.9367701411247253,0.18450810774317328,0.7268757201637683,0.0,0.8425523638725281,0.19431828552821898,0.7054039224919914,0.0,0.7123323678970337,0.16592999224392874,0.7854413148249543,0.0,0.8329423069953918,0.1863247853405071,0.7356719332260068,0.0,0.736087441444397,0.1878500164679761,0.7699789262715743,0.0,0.672918975353241
20,0.16770062356624962,0.7064929148143305,0.0,0.9344983100891113,0.18327594253252139,0.7263504092164618,0.0,0.8647809624671936,0.19311206745651532,0.7103948234015429,0.0,0.7481701374053955,0.1647829919491174,0.7837117725835185,0.0,0.8466297388076782,0.1865551786602668,0.7399241555185996,0.0,0.7407970428466797,0.18526982361415648,0.7742917368102772,0.0,0.6577006578445435
