frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0.5215919,0.34642786,0.5812864,0.56432724,0.4406643,0.42514643,0.569379,0.48851487,0.22715311,0.5035662,0.53283536,0.6158103,0.5090525,0.68008536,0.6346756,0.51229286,0.8247253,0.4310342,0.44043463,0.34825402,0.60012686,0.414137,0.429505,0.33299387,0.4237224,0.5218183,0.23213713,0.4465054,0.53509796,0.6252868,0.45064908,0.68237185,0.57784724,0.45532393,0.82458663,0.44746763
2,0.52131426,0.34954405,0.53661495,0.5613946,0.44631326,0.35786945,0.54956913,0.5187039,0.20802458,0.50662977,0.5343294,0.57743806,0.507615,0.67674845,0.62507683,0.50727075,0.8272485,0.4415173,0.4396587,0.35257936,0.51524067,0.4087362,0.4433624,0.35025004,0.41772008,0.5405206,0.35977712,0.447833,0.5361741,0.57203776,0.4557873,0.68274057,0.5482951,0.4644156,0.8264777,0.39704272
3,0.52439636,0.3437179,0.59079486,0.567966,0.43484685,0.4228911,0.5628069,0.4922759,0.21315412,0.508427,0.5249332,0.56512165,0.5089779,0.67500937,0.63528293,0.51220715,0.8261273,0.45883512,0.44083488,0.34714937,0.6107662,0.41839036,0.44318068,0.34212893,0.4159071,0.5362179,0.39828017,0.44827157,0.5263258,0.5984825,0.452452,0.68101466,0.62737095,0.45750603,0.82487774,0.45739183
4,0.5213746,0.34650266,0.5376993,0.5651077,0.4364252,0.4371993,0.5578025,0.49960423,0.22536601,0.5010588,0.52763295,0.5815752,0.5038204,0.67578554,0.6288663,0.51005995,0.8260442,0.45250028,0.43919784,0.34829628,0.5786796,0.4143407,0.44522172,0.36678836,0.412858,0.53799355,0.43372256,0.4461916,0.53039247,0.61698526,0.45333612,0.6816832,0.6016617,0.4568305,0.8255087,0.48625058
5,0.5207912,0.3474239,0.5308256,0.5656,0.43751693,0.46271923,0.5636666,0.49394614,0.25877652,0.50315416,0.52745605,0.5752759,0.50477654,0.67554235,0.6443148,0.5091492,0.8261349,0.4318176,0.44144258,0.3467995,0.6230321,0.40719518,0.4406541,0.33845752,0.40782076,0.51786554,0.26979798,0.44856736,0.52980185,0.5879507,0.45051715,0.68082,0.598568,0.45960116,0.8259589,0.51647824
6,0.5225995,0.3488855,0.5453169,0.5691766,0.4358561,0.45133406,0.5724307,0.51998556,0.28274503,0.50283885,0.53198797,0.60357463,0.5063954,0.67691374,0.675542,0.51007676,0.8271989,0.45176116,0.44057328,0.3502947,0.5588437,0.40614694,0.44074202,0.3222208,0.40908942,0.49825543,0.18214889,0.4489116,0.53456235,0.6005645,0.45251054,0.6830586,0.6001119,0.46028575,0.8273222,0.51427084
7,0.5195393,0.34389576,0.55082184,0.5691755,0.43875656,0.3735751,0.5765455,0.49187595,0.2651107,0.5048241,0.5262298,0.56029475,0.5039263,0.6793083,0.6448369,0.5077647,0.8318341,0.4096831,0.44086453,0.3476698,0.6133458,0.40643257,0.4303722,0.37353823,0.39804602,0.46729773,0.18699534,0.44986817,0.5293548,0.57303214,0.45246512,0.6866745,0.6109838,0.46129403,0.8287997,0.5085455
8,0.5233396,0.34431013,0.57080144,0.5766504,0.43216452,0.38548997,0.59707475,0.47730035,0.29741105,0.5047898,0.5260151,0.5516871,0.5027287,0.67733526,0.60518295,0.5063766,0.8308903,0.40185004,0.4379316,0.35145414,0.58555293,0.38798952,0.42242283,0.34738693,0.34578055,0.44350505,0.16903593,0.4517548,0.53033507,0.5720241,0.45354664,0.68065214,0.5713504,0.46174645,0.82676095,0.49278006
9,0.52611053,0.33553156,0.53000927,0.5836401,0.41972017,0.529489,0.6112029,0.4648971,0.45816427,0.50365424,0.5187565,0.5594304,0.50425625,0.67568934,0.625994,0.51517504,0.82399225,0.38694066,0.4371642,0.33732903,0.5602704,0.37220746,0.40904403,0.38655618,0.31630927,0.41593516,0.3638988,0.453606,0.52242655,0.57671016,0.45190567,0.6796293,0.6134561,0.4567008,0.83384943,0.47698942
10,0.53184783,0.32865053,0.6216876,0.58490974,0.40442508,0.462654,0.6195372,0.4351824,0.27591765,0.50864834,0.5013653,0.56994724,0.5075257,0.67143416,0.54115134,0.5117705,0.82654417,0.2953255,0.43111384,0.32757553,0.54527605,0.37311727,0.39665195,0.40561756,0.32420307,0.4208722,0.30181313,0.45576787,0.50358045,0.5631341,0.45422095,0.67471594,0.6825451,0.45954546,0.83064854,0.46526802
11,0.5296309,0.32021403,0.5305585,0.59615725,0.38416833,0.40312448,0.6348212,0.4130317,0.38624418,0.5083181,0.49821553,0.5058711,0.50454754,0.66726273,0.53547055,0.49822816,0.8291382,0.28831434,0.4323853,0.31706125,0.5386135,0.34742105,0.38574374,0.41297644,0.31221586,0.4036703,0.3144388,0.45885026,0.49964064,0.50749695,0.4604069,0.66902703,0.4138014,0.46089697,0.8223603,0.3264139
12,0.52900594,0.30764592,0.72165364,0.59951246,0.35485876,0.53191626,0.63971937,0.38557327,0.47677246,0.51084274,0.49295205,0.7363135,0.50992495,0.6558164,0.7364886,0.51253736,0.8235055,0.48187575,0.4252835,0.3123584,0.61678416,0.34961325,0.37888658,0.49980766,0.30519402,0.397333,0.42572612,0.45835716,0.49220642,0.5785833,0.45430058,0.6668329,0.6906556,0.44352934,0.818911,0.64254016
13,0.51688325,0.29800305,0.5999729,0.61749285,0.3298648,0.3510094,0.6489563,0.34133038,0.2817757,0.5089121,0.48698115,0.62665987,0.5066709,0.65952814,0.61207855,0.51547307,0.7989666,0.30202705,0.43036133,0.3111875,0.5505242,0.3544545,0.3580527,0.50362813,0.31203514,0.38077152,0.3633673,0.45978606,0.48958194,0.68369526,0.45697126,0.6612592,0.47096708,0.4549236,0.7968699,0.3859722
14,0.5217353,0.2946785,0.7619591,0.6200327,0.30988416,0.5754493,0.6584234,0.31615362,0.5104065,0.51266503,0.481605,0.6978258,0.5122192,0.6303877,0.68148553,0.52062416,0.7678517,0.48148057,0.42977405,0.30411068,0.7912646,0.34730622,0.3448057,0.48511836,0.31810915,0.35653013,0.3149787,0.45835385,0.48221058,0.70475245,0.4378935,0.6163881,0.56737137,0.44147784,0.7583569,0.31010646
15,0.5236161,0.2888372,0.6672072,0.615546,0.30627584,0.5837799,0.63850266,0.29105538,0.6214531,0.50966513,0.47229564,0.6443348,0.51430583,0.63816977,0.79364663,0.53227246,0.79583013,0.65937954,0.42813295,0.29703817,0.7935942,0.34470403,0.33830732,0.29191568,0.30511618,0.30622736,0.4614512,0.45649415,0.47568905,0.7099842,0.43736935,0.64198923,0.5995247,0.42504185,0.8020623,0.62860465
16,0.52499926,0.28397766,0.7813993,0.6197804,0.28095567,0.6753736,0.6368024,0.2555246,0.70360994,0.51465786,0.4747545,0.71636605,0.5189339,0.6445163,0.7149513,0.53119636,0.80830306,0.56580716,0.42254543,0.29331842,0.7832569,0.32815105,0.30513498,0.5592739,0.302162,0.26527485,0.7206491,0.45597547,0.47777516,0.7126971,0.43581864,0.64280117,0.5785054,0.4254727,0.808032,0.70137376
17,0.5220609,0.2789963,0.54239804,0.6067094,0.27265945,0.7587851,0.62951744,0.2402533,0.66201043,0.5135726,0.47975528,0.76992464,0.52102715,0.64990836,0.74484164,0.53443915,0.80008215,0.7638864,0.42380953,0.29024297,0.7389742,0.33855492,0.283932,0.6061149,0.3069556,0.24866194,0.7646453,0.4581511,0.48268193,0.77459216,0.43000314,0.65592086,0.8056487,0.42329723,0.80158126,0.81325793
18,0.5236866,0.278588,0.56801134,0.5997955,0.25353074,0.83479494,0.62420785,0.22029743,0.628551,0.5156121,0.4902534,0.82655436,0.5266035,0.6544566,0.84739274,0.5399003,0.7982657,0.74528515,0.42412835,0.28257164,0.67079633,0.3440774,0.26638806,0.51537657,0.30285496,0.2190104,0.80108243,0.45607185,0.4916452,0.8044072,0.42873177,0.66072834,0.80018854,0.41922945,0.8013735,0.7486988
19,0.5170821,0.28028253,0.5135777,0.5992619,0.23424184,0.5456884,0.6229483,0.17695254,0.54752904,0.5171273,0.4920848,0.80097276,0.527621,0.66701525,0.8104991,0.5527221,0.8294808,0.7006478,0.42021164,0.2908058,0.74425733,0.34617174,0.24968658,0.60775113,0.31061924,0.20084107,0.6757771,0.4559345,0.4924427,0.61281043,0.42862308,0.6702942,0.7868213,0.4188832,0.8086947,0.54988706
20,0.5201926,0.28635013,0.70150185,0.5794996,0.21454649,0.4347894,0.6116183,0.15680891,0.70179695,0.5124939,0.50009656,0.7143414,0.53680575,0.6715574,0.6179145,0.55724275,0.8375931,0.70822155,0.4218437,0.29865697,0.84138775,0.35781384,0.24590397,0.6844605,0.30875713,0.18463096,0.6483348,0.45485306,0.5043137,0.7859693,0.4275689,0.6712135,0.88998526,0.40579075,0.8261027,0.72138107
21,0.5159002,0.30156118,0.69495106,0.55380297,0.21904182,0.23702113,0.6023066,0.1489681,0.6538176,0.5099782,0.5113117,0.6412717,0.5394084,0.6773038,0.67288303,0.5605372,0.84316534,0.63857067,0.4229076,0.30507147,0.6225977,0.36833727,0.2465918,0.60571194,0.33150303,0.17980371,0.47321114,0.4541579,0.51524734,0.765872,0.42784494,0.6753196,0.89489686,0.40374923,0.8393177,0.82134986
22,0.5115553,0.30976886,0.57956386,0.5471839,0.22503367,0.21055806,0.5843165,0.14184847,0.36300436,0.5094907,0.5198133,0.5571318,0.5340899,0.6784452,0.86183095,0.56307566,0.8398649,0.6447525,0.42045772,0.31444204,0.74547327,0.37633234,0.25166327,0.5062258,0.34980524,0.17154244,0.53881854,0.45600283,0.5215535,0.67306775,0.4308167,0.67853165,0.82775456,0.40164825,0.834356,0.8089674
23,0.5156399,0.32022825,0.6604646,0.5457816,0.28317705,0.10747146,0.5694232,0.19918033,0.21525711,0.5101526,0.52731705,0.614931,0.5335791,0.68527055,0.7867758,0.56641257,0.83623254,0.66804403,0.4221525,0.32357168,0.74519295,0.38136002,0.25333068,0.37103108,0.3697548,0.15938286,0.38888738,0.4542687,0.53263557,0.76429415,0.42849934,0.68910474,0.86087805,0.40166306,0.8402474,0.76332945
24,0.51962954,0.3527696,0.49136767,0.5075738,0.45221508,0.2709591,0.48406264,0.5118955,0.35269576,0.5088221,0.5379281,0.5075853,0.53120416,0.6844219,0.67949474,0.5652845,0.8340626,0.5952364,0.44008243,0.35725385,0.54532933,0.4538425,0.4522836,0.22793397,0.46344206,0.5150397,0.31397805,0.45462537,0.5417286,0.522587,0.42836446,0.68766475,0.6957991,0.40340203,0.8366398,0.67210793
25,0.44422278,0.3612963,0.46475,0.40637776,0.28812692,0.40823892,0.4021573,0.20960991,0.205226,0.45918393,0.5517726,0.58219916,0.42892182,0.704002,0.65332264,0.40260285,0.8508167,0.6927092,0.5173129,0.35881063,0.46199554,0.5500995,0.2795959,0.41615632,0.54479873,0.24396472,0.22362143,0.51144725,0.5537137,0.5760454,0.5337462,0.69953007,0.7080928,0.56251085,0.8392984,0.48458415
26,0.46047541,0.3753359,0.38182455,0.45433307,0.33367038,0.1834197,0.43890202,0.2772463,0.10496972,0.4626367,0.56301916,0.42068934,0.43309778,0.7098731,0.49280143,0.4028375,0.84971416,0.55246145,0.50674033,0.37529787,0.24855909,0.5440572,0.2780832,0.26251116,0.5393014,0.2652921,0.1697605,0.5060979,0.56628746,0.4209857,0.5313921,0.7036017,0.40674764,0.5593034,0.8447201,0.39938688
27,0.46134782,0.37850243,0.43237916,0.45460758,0.35876137,0.20353311,0.43886828,0.31184298,0.13472076,0.46842587,0.5673682,0.440449,0.5219049,0.707517,0.40010902,0.55821574,0.8463668,0.30373457,0.50743544,0.37658775,0.28025392,0.5396893,0.41530308,0.1331052,0.53079003,0.2994795,0.107085556,0.50117767,0.57023805,0.4682159,0.52333,0.7072939,0.38167882,0.556832,0.8470465,0.36070162
28,0.48329148,0.3801895,0.3797615,0.4694781,0.39124823,0.177633,0.44838893,0.32869017,0.14746697,0.48817953,0.5708715,0.47907305,0.52635396,0.7089877,0.5264272,0.56037223,0.8445381,0.45142108,0.48627076,0.3826369,0.43437895,0.4950447,0.41532153,0.13856083,0.4890229,0.32435286,0.14409223,0.48613212,0.57349354,0.505329,0.43108338,0.70958936,0.61976296,0.40320355,0.8468243,0.5299667
29,0.5031035,0.38858807,0.3442575,0.48904905,0.43289956,0.20503479,0.49927196,0.3286489,0.13557135,0.49811918,0.5749625,0.49901915,0.53202385,0.7158472,0.5890768,0.5677149,0.8549234,0.4353583,0.4739197,0.38880384,0.3101605,0.4818147,0.43404958,0.18157655,0.3236003,0.39903805,0.30418873,0.48048884,0.5800561,0.4164943,0.4289727,0.7151818,0.6653634,0.40502518,0.8521308,0.50785655
30,0.5074919,0.3839068,0.4051852,0.5033642,0.38831115,0.14345716,0.4988327,0.3120796,0.17078893,0.49903178,0.57599235,0.5089021,0.53273416,0.7132921,0.59287804,0.56739974,0.85614216,0.40540788,0.46173584,0.3808416,0.47435763,0.46953273,0.40536547,0.18707912,0.44989154,0.32472876,0.13493025,0.47345003,0.5817746,0.44404712,0.4283411,0.7157585,0.6960469,0.4068216,0.85100454,0.49508822
31,0.497312,0.3731664,0.34581262,0.47591656,0.31943193,0.1622137,0.47969636,0.28835154,0.12092692,0.49066967,0.5704465,0.46171683,0.5321506,0.7108643,0.50955516,0.56244415,0.84423697,0.3698324,0.4786359,0.3778305,0.37832466,0.5012686,0.35006246,0.16943291,0.4937938,0.29733032,0.15443282,0.48706967,0.5750934,0.37190872,0.4286623,0.71439505,0.5595126,0.40842795,0.8486215,0.39858034
32,0.47312135,0.36237428,0.41548163,0.40912533,0.29425985,0.24544647,0.42131144,0.28029525,0.14661254,0.47929913,0.5604398,0.47156027,0.52959204,0.70038605,0.62677264,0.56289387,0.843512,0.40124765,0.50189435,0.35827953,0.4082516,0.55028313,0.29309067,0.21861087,0.5450201,0.27523547,0.19387202,0.50066733,0.5619014,0.47659326,0.44146723,0.69974446,0.4954694,0.40866512,0.8356031,0.50130546
