frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
1,0.686912,0.35663044,0.7645107,0.6911012,0.5921916,0.5741823,0.6932554,0.7863412,0.73773,0.48124608,0.4885291,0.73409,0.33202267,0.6201306,0.76890707,0.16147494,0.7074296,0.6882354
2,0.68647814,0.35950172,0.77963537,0.69236636,0.59312755,0.60488033,0.6926112,0.78877276,0.7821265,0.48216283,0.48859978,0.7304687,0.32931086,0.6203567,0.7032625,0.16359068,0.7084023,0.7401087
3,0.687909,0.356108,0.79297864,0.69160116,0.59059083,0.58932203,0.6936702,0.791307,0.7602521,0.4807403,0.48742634,0.7318093,0.33176228,0.6211389,0.73585415,0.16621463,0.711748,0.7239045
4,0.68982947,0.35709757,0.82879466,0.6930027,0.59074533,0.5992094,0.69480056,0.7899865,0.7706812,0.4821626,0.490053,0.7540721,0.33059728,0.621034,0.71935236,0.16586092,0.7131884,0.7170625
5,0.689932,0.3600678,0.83359164,0.6926243,0.59217596,0.60941225,0.6957618,0.78997445,0.7629063,0.48032412,0.48893583,0.7481623,0.334063,0.62174404,0.73669493,0.1661306,0.7110851,0.7438012
6,0.692621,0.36047995,0.8638894,0.69381255,0.59311306,0.6113395,0.70022076,0.791875,0.78501344,0.48114854,0.48800045,0.7368407,0.3304414,0.6213853,0.7477249,0.16639693,0.71264076,0.7558801
7,0.6959688,0.3613674,0.8343798,0.6969329,0.59331346,0.6160248,0.70199597,0.7918145,0.79101324,0.4842474,0.48901266,0.75198627,0.33367866,0.62131125,0.7594771,0.16856143,0.7089712,0.7891394
8,0.69782203,0.36580083,0.82663584,0.6990684,0.5972638,0.63526434,0.6964377,0.7910668,0.8184642,0.486203,0.48994416,0.74488896,0.33396906,0.6216388,0.7377268,0.16352826,0.71411,0.6493274
9,0.6958152,0.3684178,0.7699883,0.69754124,0.5980753,0.6523906,0.69453996,0.7907394,0.81233925,0.48719186,0.48859513,0.72732896,0.33549628,0.6230109,0.7733549,0.16379294,0.71183866,0.6905713
10,0.6962315,0.36857897,0.77063584,0.69858897,0.59848607,0.67264634,0.6965685,0.7924027,0.8187401,0.48763335,0.49008816,0.66779107,0.3354436,0.6230711,0.7657688,0.16379584,0.710449,0.7581992
11,0.6990968,0.37317416,0.6043836,0.6998281,0.59883547,0.67881316,0.69698375,0.7926034,0.8315848,0.4875713,0.488988,0.64892745,0.34126362,0.6235181,0.6301105,0.16504234,0.708779,0.7629723
12,0.6995499,0.36788613,0.5718999,0.7008545,0.59783286,0.67294914,0.6983359,0.7919776,0.837495,0.48875496,0.48914778,0.65420026,0.34100318,0.62375706,0.8022669,0.16780767,0.7044727,0.78670615
13,0.6984973,0.36899266,0.5652036,0.6972748,0.6006054,0.7087602,0.6969883,0.7931661,0.8465154,0.4903774,0.4911517,0.69594103,0.3380685,0.6234554,0.75612044,0.16629112,0.70433754,0.75615513
14,0.6990301,0.37306353,0.5823725,0.70315206,0.5999956,0.71039516,0.7082631,0.7912979,0.6374774,0.4915414,0.49236798,0.70505774,0.33600664,0.62233245,0.80186355,0.16429399,0.70836467,0.75742406
