frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
1,0.46180388,0.2818957,0.8264527,0.49240535,0.5130881,0.57100844,0.4201578,0.71186197,0.664071,0.46207795,0.90022796,0.57390416
2,0.46306667,0.27355757,0.8014927,0.4939319,0.5078121,0.81161016,0.4214335,0.7118887,0.66064525,0.46187288,0.89786834,0.5903934
3,0.46464944,0.26356477,0.8496054,0.49231514,0.50190824,0.80079865,0.42052847,0.7104244,0.6462856,0.4611338,0.89904565,0.57483315
4,0.46466434,0.25688308,0.8290057,0.48569643,0.49811846,0.7753422,0.42173362,0.7071198,0.7630365,0.46049476,0.9007075,0.5646954
5,0.4676424,0.24635361,0.8051617,0.48160934,0.49078032,0.7001949,0.42512745,0.7052535,0.8043775,0.457301,0.8997927,0.6528468
6,0.46966037,0.23015088,0.7587366,0.47725224,0.48355973,0.7515823,0.4264257,0.69959587,0.79611486,0.45962888,0.8921401,0.5953879
7,0.4686954,0.23448664,0.79831123,0.4731894,0.48052555,0.67120343,0.42919526,0.69809955,0.776238,0.45925945,0.89169395,0.54804504
8,0.46632618,0.22531092,0.7019053,0.4730773,0.47206622,0.7695521,0.4301606,0.69633484,0.7486457,0.4607365,0.89108485,0.50615263
9,0.46312046,0.22215861,0.75950766,0.4634531,0.4622721,0.699238,0.4337344,0.70020795,0.55953765,0.4607883,0.89402604,0.48058796
10,0.46520182,0.21089911,0.64654845,0.4619332,0.45260662,0.72921693,0.4357376,0.6957163,0.5477646,0.46297204,0.8896279,0.5164759
11,0.4696501,0.20098893,0.68944645,0.45636582,0.43970308,0.61493784,0.4396248,0.6937372,0.5940615,0.4628359,0.89313865,0.4841591
12,0.4631552,0.2060796,0.580041,0.45207423,0.43771082,0.5365842,0.44652617,0.6915293,0.62627697,0.4643203,0.8912553,0.45317656
13,0.46079275,0.21672809,0.61333287,0.45149308,0.45537126,0.49688113,0.447332,0.696964,0.58483225,0.46429345,0.89024854,0.45728055
14,0.45945367,0.22207968,0.6285903,0.45647186,0.4634071,0.5603684,0.44577774,0.69831675,0.49089825,0.46324882,0.88713974,0.39764848
15,0.47074807,0.2285118,0.4352669,0.46452138,0.47956753,0.47661945,0.44896555,0.7043346,0.6234071,0.4641893,0.8902403,0.34323037
16,0.4641449,0.2135675,0.5454898,0.46149713,0.48011142,0.51149637,0.4446953,0.70783937,0.5714591,0.46382046,0.8884779,0.35822228
17,0.45980835,0.21422552,0.579945,0.46025234,0.48228762,0.5712864,0.44807324,0.71501845,0.5294327,0.4657557,0.8918631,0.30039394
18,0.46093345,0.20314449,0.4046719,0.45982027,0.4874067,0.5444086,0.44997668,0.7172669,0.4661064,0.4652327,0.8929247,0.2737117
19,0.4614209,0.20877743,0.43322486,0.46173558,0.48940825,0.45439675,0.4494102,0.71530926,0.5184449,0.46515036,0.89184487,0.3497417
20,0.4692126,0.1987781,0.24741755,0.47563693,0.47616816,0.34235236,0.44893825,0.71969986,0.32889113,0.4651494,0.7443813,0.10287019
21,0.4632529,0.20211136,0.512336,0.46221027,0.4924631,0.5357926,0.44990942,0.7183322,0.47257435,0.4616179,0.8892001,0.21507114
22,0.4662767,0.20650339,0.34082434,0.45899627,0.49199396,0.5549575,0.45005602,0.71687114,0.52445424,0.46182472,0.88736665,0.24523945
23,0.46715304,0.20662932,0.32714614,0.46011847,0.49555922,0.55997366,0.4498429,0.71691865,0.5108117,0.4621333,0.88955724,0.23116474
24,0.4667557,0.2013716,0.275265,0.46314904,0.48898435,0.4661828,0.44872877,0.7149137,0.46609643,0.4620609,0.8964789,0.2384315
25,0.46414003,0.19497254,0.44497886,0.46552774,0.47737902,0.46451375,0.44856653,0.7147522,0.37912124,0.46042436,0.89951414,0.21957962
26,0.47468504,0.19132307,0.41873926,0.4770823,0.485874,0.40804332,0.44857854,0.71524906,0.38062242,0.46370956,0.8968946,0.16405076
27,0.46987057,0.18640074,0.36116433,0.4771088,0.45521432,0.4137326,0.4463528,0.69623744,0.4223444,0.46248838,0.89946723,0.21919279
28,0.46873292,0.19699034,0.2809979,0.4755448,0.45535883,0.46723142,0.44695282,0.6962434,0.43299192,0.46396577,0.89474404,0.28563312
29,0.46483582,0.2150091,0.6362659,0.46150398,0.48071307,0.51825726,0.4372735,0.69975233,0.6074529,0.4634126,0.8924309,0.43880978
30,0.46027917,0.23365796,0.6641434,0.45660385,0.46979535,0.5749603,0.43258595,0.7002489,0.5938464,0.461611,0.8874043,0.48152184
31,0.45631513,0.2201799,0.5783285,0.45990846,0.46250567,0.54957044,0.43835434,0.6999766,0.6189518,0.46213275,0.88791645,0.498959
32,0.45900473,0.22573665,0.56982136,0.46280643,0.46370852,0.5890513,0.43743905,0.7015016,0.5868105,0.46046185,0.8902788,0.53567773
33,0.45766532,0.21750835,0.45577136,0.467448,0.46240038,0.59336334,0.4373337,0.6986543,0.60791105,0.45921943,0.89073217,0.54255617
