frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
0,0.51026815,0.42508024,0.008302376,0.4286381,0.57259697,0.007027164,0.37874568,0.5556467,0.004052985,0.52424186,0.61335903,0.002396455,0.60638076,0.519967,0.043012753,0.46791428,0.68727046,0.01604924,0.6021595,0.47058707,0.014737274,0.5694728,0.5851344,0.005466715,0.4902099,0.61825985,0.007706495,0.56825215,0.6176244,0.0026753272,0.598521,0.5207476,0.056361143,0.44005445,0.79802024,0.004703309
1,0.51023513,0.42502913,0.008284727,0.42845672,0.5726137,0.0069637625,0.37850812,0.55564207,0.004068478,0.52423304,0.613344,0.0023738998,0.60650104,0.5199135,0.042585406,0.46788883,0.6872998,0.016027514,0.60216737,0.47048151,0.01460245,0.56950927,0.58511025,0.00539101,0.49028647,0.61844075,0.007586038,0.56822133,0.61751944,0.0026673619,0.59864444,0.5206727,0.055879805,0.4400601,0.7979914,0.0047139795
2,0.5102707,0.4249102,0.008262758,0.4283438,0.57264775,0.006925675,0.37853056,0.5556167,0.0040795384,0.52427477,0.6131951,0.002366321,0.606497,0.51990616,0.04273695,0.46781176,0.68729293,0.015974188,0.6021638,0.4704049,0.014578803,0.569485,0.5851689,0.00538886,0.49034998,0.6184545,0.007511449,0.5682081,0.61742526,0.002667325,0.59861106,0.52068436,0.055927232,0.43835077,0.77928805,0.005593717
3,0.51026833,0.424915,0.008262324,0.42834625,0.5726518,0.0069264197,0.37853786,0.55562824,0.004079498,0.5242746,0.6131915,0.002366886,0.6064971,0.5199112,0.04276398,0.46780676,0.6872786,0.015962431,0.60215497,0.47040433,0.014580386,0.5694844,0.5851659,0.005393884,0.4903403,0.6184571,0.0075139333,0.568208,0.6174238,0.0026688615,0.59861207,0.52069336,0.055953734,0.4383349,0.7792748,0.0055938205
4,0.5103252,0.42493537,0.008286094,0.42833665,0.5726113,0.006911378,0.37843272,0.5556876,0.004082348,0.5243102,0.61318517,0.002357485,0.60653955,0.5198936,0.04295263,0.4678455,0.6873436,0.015963351,0.60220325,0.47036335,0.014638681,0.5694823,0.5851211,0.0053743217,0.49043298,0.61849326,0.0075068744,0.5682752,0.6174028,0.0026551045,0.59864885,0.52067405,0.056203097,0.438383,0.779272,0.005600375
5,0.51036423,0.42496473,0.008257118,0.42825156,0.572592,0.0068676886,0.37842095,0.55560875,0.00408092,0.52425635,0.61314327,0.0023543627,0.60652703,0.51982164,0.04308212,0.46788296,0.6873406,0.015996862,0.60227,0.47031814,0.014599616,0.569543,0.5850715,0.005323944,0.49054092,0.6185485,0.0075190878,0.56826025,0.6173159,0.0026457065,0.59864247,0.5205682,0.05643921,0.43841636,0.7792592,0.0056154444
6,0.51037765,0.42493594,0.00816713,0.42818707,0.57259744,0.006736366,0.3783077,0.55558777,0.004091231,0.5243724,0.6131075,0.0023362758,0.6065415,0.5198062,0.043299343,0.4678672,0.6873031,0.015955925,0.60237455,0.47021997,0.014529359,0.5701296,0.5728416,0.007384813,0.49063578,0.6185569,0.007471201,0.56833535,0.6171876,0.0026347148,0.5986408,0.52051705,0.056705672,0.4400236,0.7980437,0.004719614
7,0.5102152,0.42483985,0.008112376,0.42817217,0.5725001,0.0067172623,0.37813815,0.55539644,0.0041192966,0.5243433,0.61316717,0.002331037,0.6065892,0.51978856,0.04342135,0.46784538,0.6872302,0.015860433,0.60274875,0.48220822,0.017207406,0.57031286,0.57279325,0.0074235327,0.49061325,0.61851805,0.0074957274,0.56840307,0.6171663,0.0026361637,0.5987094,0.52049834,0.05697963,0.4400115,0.79805547,0.004717662
8,0.51015073,0.42485845,0.008095323,0.42822024,0.5724273,0.0067027546,0.37794697,0.5553134,0.0041010897,0.52428836,0.61323434,0.002334697,0.60662174,0.5198006,0.04359605,0.46785522,0.6872225,0.015793601,0.6027866,0.4822134,0.017254256,0.57043564,0.5727397,0.0074524493,0.4905361,0.6184377,0.0075283702,0.5684644,0.6171587,0.002636392,0.5988025,0.5205073,0.05738097,0.44006026,0.7980729,0.00471926
9,0.5101594,0.4248522,0.008086491,0.42820352,0.5724325,0.006703345,0.37796354,0.55530375,0.0040998086,0.52428055,0.61322445,0.0023360336,0.6066244,0.5198056,0.043625563,0.46785682,0.6872151,0.015789777,0.60278434,0.48220742,0.01725466,0.5704348,0.572741,0.007454002,0.49052227,0.6184332,0.007523235,0.56846976,0.61715287,0.002637976,0.59880495,0.52051324,0.057403825,0.44006333,0.79807085,0.004718383
