frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
0,0.5091461,0.38515267,0.0025816152,0.4230945,0.5611243,0.0034163161,0.35788572,0.57200575,0.0032679215,0.5168072,0.49451646,0.005971385,0.6225783,0.52984035,0.02285725,0.43797004,0.70730287,0.012918137,0.54895175,0.48360133,0.0091196755,0.55375004,0.5620285,0.0054625296,0.47047547,0.60917467,0.0039165104,0.7207915,0.6284834,0.013522069,0.6002849,0.50860006,0.0308673,0.41821223,0.6896379,0.014806358
1,0.5090032,0.38492697,0.002563424,0.42262927,0.56100005,0.003254489,0.35771957,0.5718029,0.0032838036,0.53577346,0.49594074,0.005873522,0.6227842,0.5297677,0.022119535,0.43778893,0.7075056,0.012770479,0.54871875,0.4835039,0.008940236,0.5537105,0.56188047,0.005250273,0.4707045,0.6093293,0.0036956978,0.71867114,0.6434585,0.013303391,0.6016791,0.49905226,0.031200795,0.41797927,0.6897488,0.014756783
2,0.49073115,0.3839937,0.0021934905,0.4036622,0.5608872,0.002727006,0.3577015,0.5559398,0.0029349518,0.53590316,0.49538934,0.005868587,0.6360131,0.53074795,0.022071106,0.4373171,0.70752585,0.012699441,0.52675784,0.4968304,0.009797421,0.5537506,0.5616104,0.0050665806,0.47077098,0.60939777,0.0034740912,0.72076625,0.6283831,0.01379999,0.6017233,0.49905792,0.030198239,0.4175089,0.68969077,0.014735854
3,0.49073717,0.38399464,0.0021907273,0.40366864,0.56089324,0.002727171,0.35770112,0.55593956,0.0029327564,0.535917,0.495411,0.0058651,0.6360114,0.53074557,0.02208451,0.43731642,0.7075267,0.0126995975,0.5267668,0.49683627,0.00979615,0.55374587,0.56160635,0.0050724153,0.47078764,0.6094,0.003480833,0.72076815,0.6284071,0.013777612,0.6017254,0.49906355,0.030213952,0.41751036,0.68969333,0.014730691
4,0.49075374,0.38389158,0.0021752557,0.4031796,0.56081975,0.0026672313,0.35794595,0.5559341,0.0029310866,0.5358862,0.49539283,0.005794855,0.63614213,0.53061616,0.021938922,0.43727311,0.70774454,0.012537108,0.54829526,0.4830055,0.008567418,0.5537719,0.56138766,0.004909003,0.4711829,0.6096705,0.003405623,0.72080326,0.6286969,0.013488107,0.6018504,0.49885866,0.02999168,0.4174163,0.6898767,0.014595028
5,0.49063715,0.3836703,0.0021661113,0.4027218,0.5604068,0.002554883,0.35774,0.55572486,0.002910339,0.40335646,0.48969913,0.007989609,0.61034864,0.51918244,0.022630125,0.43726212,0.7079803,0.01234033,0.54861873,0.48271802,0.008488276,0.5541151,0.56092507,0.0045213024,0.4714765,0.60986483,0.003278818,0.7208696,0.62891656,0.013256124,0.60184497,0.49895698,0.030388271,0.41722783,0.69006824,0.014411613
6,0.49079293,0.38346654,0.0021453633,0.4024826,0.56023324,0.0024701417,0.35721496,0.555794,0.0028685047,0.40315267,0.4895939,0.0080279345,0.61043143,0.5191614,0.022933796,0.43747136,0.7081447,0.012176695,0.5487841,0.48259085,0.008518996,0.5542707,0.5608461,0.0045468365,0.4719711,0.610121,0.003283546,0.7210331,0.62867284,0.01350267,0.6018704,0.49887827,0.03111176,0.4171992,0.6902733,0.01426209
7,0.4909311,0.38356373,0.0021287904,0.40252116,0.56020427,0.0024155823,0.3569819,0.5554399,0.0029105938,0.4029297,0.48957437,0.007955975,0.6106966,0.51919633,0.023427455,0.43764833,0.70812845,0.012098934,0.5866909,0.46934235,0.0073291627,0.55465776,0.56117487,0.004774873,0.47227937,0.6101562,0.0033483494,0.72122794,0.6289284,0.013212173,0.60106504,0.50802386,0.030496852,0.41725162,0.6903352,0.01409807
8,0.51139146,0.4017354,0.003047906,0.40273926,0.5601832,0.0023487692,0.3566716,0.5555922,0.0028098717,0.40302703,0.48936,0.007839416,0.61085814,0.5190322,0.023829073,0.4379688,0.70837325,0.011908187,0.58705115,0.4694401,0.0075020767,0.5547815,0.5612178,0.0046622115,0.47259694,0.6100951,0.003382008,0.7214584,0.6289128,0.013288866,0.60119843,0.5080289,0.03145925,0.41737258,0.6906407,0.013872269
9,0.5113703,0.40174425,0.0030449864,0.40275618,0.56018215,0.0023491178,0.3566741,0.5556428,0.0028019263,0.4030477,0.4893748,0.007830916,0.6108572,0.51904386,0.023802023,0.43798205,0.70837826,0.011911117,0.5870482,0.4694597,0.007514403,0.5547798,0.56121397,0.004657791,0.4725831,0.6100959,0.0033837908,0.7214636,0.6289243,0.013264297,0.60118634,0.5080267,0.031442363,0.4173876,0.6906474,0.013880046
