frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
0,0.5102095,0.42523396,0.0077254027,0.5212656,0.5984329,0.002498895,0.605133,0.5193527,0.047126085,0.4650644,0.68636864,0.0140243815,0.6032892,0.47009212,0.013729651,0.53284264,0.49998534,0.012323836,0.597871,0.51924825,0.062240824,0.44938397,0.7972568,0.005470558
1,0.5101947,0.42529503,0.007703673,0.5213543,0.5984287,0.002492159,0.6050861,0.51937085,0.047434524,0.4650946,0.6863273,0.014053793,0.6032557,0.47014272,0.013810508,0.53289783,0.50006795,0.012311166,0.59778506,0.5192965,0.062446672,0.4493895,0.7972658,0.005472048
2,0.51020235,0.42527395,0.007684346,0.5213927,0.5984779,0.0024721706,0.6051066,0.51936847,0.047312904,0.46518105,0.6863104,0.01408327,0.6032993,0.47010604,0.013791809,0.5329572,0.50014186,0.012221963,0.597755,0.51928395,0.06227624,0.44951662,0.7973364,0.0055179675
3,0.51021594,0.42527166,0.00768579,0.47734147,0.4937902,0.009278281,0.6051088,0.51936215,0.047342744,0.46518373,0.6863072,0.014084813,0.6033111,0.47009853,0.013811657,0.53297436,0.50014156,0.012226922,0.5977543,0.5192771,0.06229961,0.44951355,0.7973351,0.005517905
4,0.51032597,0.42519313,0.007668614,0.5214874,0.5983729,0.0024985243,0.6051648,0.51921177,0.04701824,0.46529996,0.6863761,0.014252293,0.603336,0.47007412,0.013960789,0.53295237,0.5001598,0.012257187,0.59776473,0.5191602,0.061969686,0.44957677,0.797644,0.0055398126
5,0.51047516,0.42500076,0.007820823,0.5220168,0.5981699,0.0025804627,0.60529643,0.51943964,0.047538735,0.46509635,0.68626356,0.014132601,0.6031151,0.47000858,0.014228264,0.53313625,0.5004723,0.01233703,0.59771895,0.5193863,0.062141515,0.4493324,0.7979311,0.0054465286
6,0.51094,0.42461482,0.0076159183,0.52313507,0.5979352,0.0026758234,0.60526085,0.51966196,0.04860385,0.4654238,0.6706025,0.015199309,0.6031458,0.46978378,0.014303928,0.5510059,0.5161593,0.010819511,0.5975951,0.519625,0.0628673,0.44923854,0.7983809,0.005409039
7,0.5105287,0.4246489,0.0076490548,0.5226628,0.5979631,0.0026613863,0.60557735,0.519279,0.047030933,0.4651257,0.6863868,0.013414792,0.6033593,0.46939367,0.013941984,0.5333075,0.5004036,0.012303145,0.5980225,0.51925635,0.060935784,0.44941515,0.7984979,0.0054683406
8,0.5103904,0.42482483,0.0075407433,0.52224314,0.59797907,0.0025198944,0.605847,0.51932055,0.04653625,0.46493852,0.70365596,0.011994936,0.60376066,0.46949106,0.013698667,0.5333334,0.50019693,0.012233967,0.5985476,0.51936096,0.06043608,0.4494501,0.79853606,0.005394557
9,0.51039714,0.42484847,0.0075614452,0.5222953,0.59800065,0.0025218045,0.60583794,0.5193296,0.04670382,0.46492776,0.70366657,0.01200299,0.60376656,0.46949935,0.01372494,0.5333666,0.5002038,0.012257135,0.59853745,0.51936316,0.06065305,0.44946623,0.79853934,0.005392935
10,0.5105109,0.4249506,0.007539666,0.47829592,0.4935724,0.009044756,0.6059279,0.5193557,0.047119115,0.4647907,0.7038065,0.012118747,0.60404944,0.4695911,0.013815768,0.5334149,0.50016767,0.012225257,0.59877384,0.5194286,0.06127196,0.44949865,0.7983678,0.005404264
11,0.5105795,0.42486855,0.007595669,0.522317,0.5980229,0.002436173,0.606003,0.51960474,0.047930926,0.4649168,0.7036108,0.012238467,0.6041223,0.4695588,0.014007913,0.53335655,0.49996445,0.012415503,0.5990182,0.5197631,0.062405765,0.44953647,0.79826194,0.005412008
12,0.5109324,0.42485532,0.0077630407,0.49603626,0.49479094,0.009163615,0.60612166,0.5198072,0.049135577,0.46503016,0.68673146,0.013805085,0.60421413,0.46956,0.014243473,0.5335876,0.5000428,0.012954365,0.5991779,0.51998335,0.063782595,0.44951263,0.7981969,0.0054538585
13,0.510991,0.42479137,0.00773263,0.49621618,0.49492222,0.009193042,0.60623163,0.5198222,0.049322896,0.46507686,0.6867213,0.013803929,0.60453963,0.46963727,0.014072866,0.5337067,0.50031704,0.012901135,0.5992328,0.5200954,0.0636208,0.44948804,0.79823196,0.005472998
14,0.511126,0.42479545,0.007745082,0.49631685,0.4950454,0.009219857,0.60633403,0.51986,0.04994985,0.4651718,0.6865476,0.013874525,0.6045088,0.4696137,0.014222974,0.5331206,0.51499146,0.011758672,0.5992123,0.5201747,0.06390909,0.44936267,0.7981706,0.0054802042
15,0.5111832,0.42479387,0.007759079,0.49635306,0.49505264,0.009216264,0.6063416,0.51985824,0.049966037,0.46518388,0.6865564,0.013879459,0.60451764,0.4695882,0.014219778,0.5331524,0.51498663,0.0117682405,0.59921974,0.5201691,0.06389636,0.4493539,0.79816747,0.0054868273
16,0.5115595,0.42471108,0.007795684,0.4966356,0.4951186,0.0091745835,0.6065101,0.51977384,0.05057603,0.46538934,0.6863781,0.013808812,0.60435903,0.4694342,0.014362017,0.53315777,0.51513803,0.011796511,0.59922826,0.52004695,0.06400307,0.4491645,0.79822934,0.0055322624
17,0.5118426,0.42461836,0.008060236,0.49704885,0.49521473,0.0092454655,0.60670376,0.5198418,0.05164856,0.4654989,0.686248,0.013677365,0.60396373,0.46927032,0.014568265,0.5332997,0.5152786,0.012002204,0.59919786,0.52008593,0.06441091,0.4486801,0.7982348,0.005562751
18,0.51153296,0.42475367,0.008177469,0.52375555,0.5987739,0.0027290506,0.60674465,0.51952034,0.05045355,0.46575028,0.6859786,0.0136568155,0.6032852,0.4696676,0.014718923,0.55053586,0.54566336,0.0090622185,0.59901917,0.5198459,0.06294296,0.44822162,0.7981277,0.0055106664
19,0.51118004,0.42468575,0.008262997,0.5233348,0.5987967,0.0028264914,0.6064067,0.5194712,0.04959129,0.46586004,0.6702623,0.015018881,0.60265255,0.47003448,0.014817504,0.53174174,0.5452,0.009617828,0.59859407,0.5198971,0.062251654,0.44791424,0.79802024,0.0054962942
20,0.5109407,0.42449677,0.008361023,0.52316785,0.59870803,0.0029262705,0.6059704,0.51963663,0.048902046,0.46592587,0.6702321,0.015271961,0.6021678,0.47008044,0.014741193,0.5315478,0.5453767,0.009686693,0.5979597,0.5201398,0.061426267,0.44801587,0.7978781,0.005531095
21,0.51095927,0.42448682,0.008353616,0.52318037,0.5987067,0.0029246986,0.60596716,0.51964056,0.048869777,0.46592057,0.6702302,0.015291837,0.60215205,0.470064,0.014737605,0.53153664,0.5453757,0.009683322,0.59794915,0.5201426,0.06138041,0.44801345,0.7978646,0.005545358
22,0.51075065,0.42428097,0.008486931,0.52313226,0.598592,0.0029426215,0.60564077,0.5200174,0.047807094,0.46610978,0.6700968,0.015629306,0.60189325,0.46987513,0.014463933,0.53143394,0.5453987,0.009578429,0.59742063,0.5205964,0.060012788,0.44822684,0.7975457,0.005558748
