frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
0,0.5249194,0.38335514,0.0035983473,0.5654906,0.5979036,0.0015703613,0.60776997,0.5305491,0.029349675,0.42267784,0.7417218,0.012038156,0.58953625,0.46056265,0.008253194,0.705322,0.58315253,0.019707557,0.6009199,0.5101005,0.038102407,0.4099437,0.85716516,0.0044220923
1,0.5249237,0.38347918,0.0037613392,0.5652153,0.5976479,0.0016323972,0.60745096,0.5306348,0.030410718,0.42272145,0.7414517,0.012118177,0.6198622,0.47448924,0.009532804,0.70449454,0.58322656,0.01934938,0.6113809,0.508938,0.04012196,0.42794925,0.8543719,0.0054390174
2,0.5252778,0.3831421,0.0037667737,0.5651862,0.5974745,0.001685824,0.60739034,0.5306936,0.031841636,0.42222157,0.7413825,0.011830628,0.6193993,0.47496498,0.0099748075,0.7036298,0.5833058,0.018615559,0.6112099,0.5094261,0.04114976,0.4273273,0.85416996,0.0055619995
3,0.5252769,0.38313556,0.003761529,0.5652054,0.5974681,0.0016841126,0.6073867,0.53070045,0.03179903,0.42220134,0.74138904,0.011809137,0.61937374,0.47498232,0.009977766,0.7036202,0.5833141,0.018599967,0.611208,0.5094246,0.04109001,0.427294,0.8541774,0.0055656056
4,0.5257659,0.38250354,0.0035520515,0.5651984,0.5971716,0.0017437853,0.6081601,0.5316656,0.029180074,0.41970256,0.7251544,0.013626519,0.6174128,0.47511226,0.010233147,0.70518845,0.58373666,0.018008972,0.6106689,0.5107918,0.039697506,0.4260084,0.8553408,0.0063163987
5,0.5263229,0.38260993,0.0035460568,0.56743526,0.59815776,0.0018634232,0.6087587,0.5433519,0.02905014,0.41957125,0.7249541,0.013373236,0.5873082,0.4601789,0.00887694,0.70726734,0.58276093,0.018678484,0.60989016,0.5209565,0.03737259,0.42586252,0.85624754,0.0059384005
6,0.5252405,0.36613074,0.0026180325,0.5676311,0.59791124,0.0019571371,0.60764426,0.5430296,0.031065753,0.4197526,0.72412676,0.012841387,0.58781946,0.45932466,0.00889257,0.70541066,0.5830555,0.018975127,0.60912174,0.5205459,0.038321406,0.42505756,0.8578836,0.005055598
7,0.5247949,0.36654353,0.0025786848,0.565973,0.5977253,0.0020102572,0.60695696,0.5320046,0.030339763,0.41939622,0.7241359,0.013273168,0.5877282,0.45892155,0.00896501,0.7059547,0.58420855,0.018532295,0.6098071,0.5089764,0.037669063,0.42470556,0.8588338,0.0049760807
8,0.5247209,0.36653784,0.0026424713,0.5655466,0.59814245,0.001839757,0.60740095,0.53141993,0.03002165,0.43068156,0.72618973,0.011864817,0.58867514,0.45887005,0.009001816,0.70600593,0.58476955,0.018255524,0.609893,0.50848204,0.0381235,0.42591804,0.8594427,0.0047385185
9,0.5247308,0.36653578,0.0026409961,0.56554973,0.59813046,0.001837778,0.60740095,0.5314235,0.030003183,0.43066132,0.7261876,0.011851597,0.58866006,0.45885605,0.0090011,0.70602906,0.5847756,0.018263388,0.6098882,0.5084832,0.038098626,0.42590132,0.8594724,0.004726747
10,0.52476096,0.36672142,0.0026799557,0.56586045,0.5984219,0.0018534749,0.60766804,0.531191,0.030601896,0.43114153,0.72650117,0.011279276,0.58920246,0.45870116,0.009044,0.7059536,0.58513325,0.018009609,0.61027455,0.50845075,0.039144687,0.4280401,0.86001116,0.004652916
11,0.52478683,0.36661145,0.0028097432,0.565573,0.5986249,0.0018798547,0.6071682,0.53093624,0.031026967,0.4320084,0.726522,0.011627469,0.58928776,0.45918027,0.00909746,0.70567733,0.58557,0.01782912,0.60991585,0.50834787,0.039932173,0.42902505,0.86009693,0.0047684493
12,0.52567047,0.36603445,0.002734201,0.56613743,0.59813905,0.0018737412,0.6072999,0.5311151,0.031580392,0.43192974,0.7263895,0.011396573,0.5895456,0.45842215,0.008820384,0.7063601,0.5847562,0.018308405,0.6099943,0.50863653,0.040748913,0.42949632,0.8603323,0.004802035
13,0.5262768,0.3656721,0.002690881,0.56678784,0.5979728,0.0019243401,0.6074564,0.5311027,0.031902447,0.4332966,0.7436111,0.010270914,0.5898745,0.45780307,0.008565155,0.7072833,0.58411926,0.017951742,0.60986406,0.508885,0.04155378,0.4292986,0.8600543,0.005015562
14,0.5265068,0.3653928,0.0026254137,0.56685483,0.5975173,0.0019083432,0.6075579,0.5307749,0.032055423,0.43353325,0.7437422,0.0098600555,0.5897499,0.45734814,0.008385161,0.7061808,0.5980122,0.017180912,0.6096706,0.50906813,0.041530486,0.4284805,0.86010736,0.0049149347
15,0.5265143,0.36540613,0.0026253776,0.5617744,0.54090476,0.004934421,0.607578,0.5307803,0.032090448,0.4335072,0.7437436,0.009841857,0.58974636,0.45736504,0.008390222,0.7061252,0.5980392,0.017252225,0.60971004,0.5090942,0.041573405,0.42845452,0.86011946,0.0049164514
16,0.5264837,0.3652371,0.0025104654,0.562022,0.5405232,0.0048948056,0.6074468,0.5306639,0.032180984,0.43406758,0.74366266,0.0099836225,0.4703849,0.51623744,0.01424396,0.71655875,0.59511477,0.01996187,0.60934,0.5091725,0.040877312,0.42739415,0.85948133,0.0052648196
17,0.5262113,0.36495173,0.0023921896,0.58606553,0.59767574,0.0018156904,0.60776967,0.5310099,0.031572595,0.43428797,0.74373513,0.010446443,0.47041118,0.51610255,0.014305549,0.7163321,0.5936825,0.02074007,0.60974497,0.50931853,0.039658416,0.426643,0.8584355,0.0053553632
18,0.52610457,0.36553946,0.0023854838,0.5999548,0.54114187,0.0049912822,0.60847694,0.5307364,0.031235933,0.43398333,0.7438799,0.010413292,0.47043785,0.51634806,0.014195202,0.7165324,0.592964,0.020950478,0.6106782,0.5095328,0.041400436,0.42623866,0.85758656,0.005084317
19,0.52564055,0.3653288,0.0023312988,0.5605776,0.527255,0.0053726803,0.62061465,0.5312215,0.03116488,0.43395796,0.74345833,0.010284729,0.5896094,0.45774302,0.0080267005,0.716168,0.59308004,0.021295993,0.6109279,0.51915264,0.04001294,0.4410678,0.8550831,0.0054594995
20,0.5249629,0.36532494,0.0022901597,0.5980523,0.52772987,0.0054599037,0.6094418,0.5316235,0.029154021,0.4336581,0.74311507,0.009973358,0.4707925,0.5160797,0.013565192,0.7155007,0.5927289,0.021060742,0.610133,0.51996887,0.03745153,0.4416342,0.8550758,0.00528804
21,0.524979,0.3652837,0.0022867736,0.5980645,0.52773446,0.005467921,0.60947514,0.531651,0.029233169,0.43366203,0.7431181,0.009975123,0.47077507,0.5160433,0.013544458,0.7154889,0.59267026,0.021106383,0.6101878,0.520006,0.037531376,0.44163996,0.8550977,0.005284592
22,0.5246801,0.3655507,0.0022758748,0.7193012,0.6308383,0.009451487,0.6092753,0.5332554,0.028465424,0.4328478,0.7252987,0.010780214,0.5875911,0.45712507,0.0077604004,0.71521497,0.59224087,0.020468758,0.6094999,0.5214146,0.034130685,0.4263489,0.8572961,0.0047425316
23,0.524532,0.36614576,0.002263148,0.7192815,0.6311619,0.00918715,0.6090252,0.5434272,0.026622145,0.43292427,0.72476214,0.010903191,0.5876733,0.45694852,0.007899963,0.7154937,0.5923573,0.020388735,0.6221828,0.5206013,0.033669263,0.4266379,0.8576213,0.004721687
