frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
0,0.51190054,0.42514548,0.010188506,0.42859635,0.57382894,0.0067792027,0.3769915,0.5545959,0.003722112,0.50349134,0.61214036,0.0025254237,0.6059728,0.5205889,0.045091294,0.4678294,0.6862052,0.01597966
1,0.51189804,0.42515,0.010190666,0.428594,0.5738216,0.0067840614,0.3769951,0.55459434,0.0037270412,0.5034727,0.61213803,0.002527214,0.6059745,0.5205889,0.045108832,0.4678182,0.6862018,0.015984233
2,0.5118949,0.4251532,0.010187727,0.42859557,0.573817,0.006783599,0.37699142,0.554596,0.0037257103,0.5034731,0.6121367,0.0025276588,0.60597384,0.5205901,0.045105863,0.46782136,0.6862026,0.015988031
3,0.5119171,0.42520133,0.010220637,0.42861342,0.5737966,0.0068009896,0.37699383,0.5546148,0.003725034,0.5035225,0.6121755,0.0025255762,0.60596573,0.5205763,0.045108244,0.46785402,0.6862036,0.015965892
4,0.51183236,0.42519286,0.010184188,0.42861205,0.5737821,0.0067657535,0.37693796,0.5546114,0.0037204572,0.5035939,0.61212766,0.002515922,0.6059602,0.5205805,0.0450066,0.46786892,0.6862013,0.015938234
5,0.511887,0.42520943,0.010206656,0.42866594,0.57372504,0.0067494437,0.3768325,0.55458826,0.0037464031,0.5037104,0.6121389,0.002513084,0.60593194,0.5205754,0.0450554,0.4679227,0.6861578,0.01594752
6,0.51194537,0.4253477,0.010169203,0.42870793,0.5737411,0.006779678,0.37683094,0.55457944,0.0037549413,0.5037166,0.6121563,0.0025263138,0.6058854,0.5205735,0.045227185,0.46792516,0.686143,0.015982104
7,0.5119003,0.4253444,0.010107076,0.42867765,0.5737207,0.0068095913,0.3768413,0.55456,0.0037453938,0.5036506,0.6120821,0.0025413942,0.6058691,0.5205496,0.045266256,0.46795696,0.68610877,0.016039792
8,0.5118818,0.42553127,0.01005505,0.42873493,0.57370657,0.006855364,0.37694022,0.5546009,0.0037365775,0.50367796,0.6120949,0.0025594926,0.6058458,0.5206013,0.045395926,0.46798223,0.68608487,0.016095124
9,0.5118836,0.42545545,0.010187626,0.42877054,0.57370013,0.0068712314,0.37699682,0.5545905,0.0037337807,0.5036685,0.6120838,0.00255672,0.6058322,0.5206131,0.04548938,0.4679755,0.6861048,0.016081855
10,0.51192904,0.4255237,0.0102694025,0.42881447,0.5736938,0.006965401,0.37720937,0.55466217,0.0037486246,0.50359404,0.612125,0.0025717905,0.6058376,0.52062577,0.04555434,0.46793342,0.6861193,0.016054533
11,0.51194626,0.42546225,0.010281619,0.4287764,0.57369626,0.0069804275,0.37727335,0.5546979,0.0037323907,0.50354224,0.61210346,0.0025698293,0.60588634,0.520596,0.045407478,0.4679077,0.68611836,0.016002337
12,0.51194257,0.42549154,0.01030852,0.4287914,0.5736804,0.0069903973,0.37728706,0.5546884,0.0037318037,0.50358266,0.612085,0.0025668829,0.6058698,0.52061135,0.045530573,0.4679038,0.68611544,0.01598116
13,0.5119256,0.4254892,0.010376611,0.42885798,0.5736586,0.0069680037,0.37718147,0.55466515,0.0037466802,0.50367963,0.6120748,0.0025604086,0.605834,0.5206142,0.045707203,0.46792442,0.68609023,0.016016262
14,0.51193553,0.42545018,0.010432054,0.4288868,0.57363904,0.006939496,0.37706646,0.5546255,0.0037632233,0.50375456,0.6120993,0.0025514136,0.605796,0.5206087,0.045813147,0.46793765,0.68608767,0.016023006
15,0.51194847,0.42548206,0.010457431,0.42885733,0.5735955,0.006959859,0.3770264,0.5545761,0.0037834907,0.5037613,0.6120663,0.0025587892,0.605798,0.5205685,0.045895547,0.46796784,0.68606967,0.016045911
16,0.5118843,0.42540753,0.010461399,0.42883286,0.5735983,0.006930796,0.37695664,0.55456114,0.0037796986,0.50374573,0.61199826,0.0025538383,0.6058364,0.52052957,0.045708578,0.46795827,0.6860409,0.016099807
17,0.5119387,0.42540362,0.010426213,0.42884827,0.57358974,0.0069230446,0.37696666,0.55458534,0.0037734897,0.5037842,0.61196613,0.0025511251,0.6058555,0.520546,0.045900468,0.46793184,0.6860245,0.016091583
18,0.5119767,0.4254448,0.010420173,0.4288949,0.573602,0.006918847,0.37695262,0.5545934,0.003763368,0.5038396,0.6119477,0.0025491128,0.6058485,0.52056456,0.04608282,0.46792817,0.6860277,0.016087666
19,0.5119637,0.4254076,0.010441819,0.4289627,0.5736324,0.006918863,0.37696168,0.55461526,0.0037482078,0.5038754,0.61197597,0.0025444734,0.6058479,0.52056867,0.046187818,0.467935,0.68602407,0.016042756
20,0.511927,0.42544323,0.010393851,0.4289607,0.57363224,0.0069397744,0.37707245,0.55463684,0.0037282615,0.50383353,0.6119639,0.0025448513,0.60587937,0.52057004,0.046078287,0.46791065,0.68604887,0.016005399
21,0.51191264,0.42550907,0.010446665,0.42896807,0.57360697,0.0069672023,0.37718275,0.5546842,0.0037290426,0.5037632,0.6119286,0.0025473603,0.6059382,0.52055514,0.045936078,0.46784115,0.68604016,0.015985996
22,0.5119293,0.42553052,0.0104796095,0.42902106,0.5736058,0.006967569,0.37721863,0.5547291,0.0037442858,0.5037794,0.6119756,0.0025406461,0.60595465,0.5205556,0.046022106,0.467812,0.6860324,0.015921244
23,0.5119186,0.4255069,0.010499243,0.4290096,0.5735896,0.0069585936,0.37721238,0.5547228,0.0037456108,0.5037794,0.61195296,0.002536781,0.6059577,0.5205686,0.046046637,0.46779114,0.6860515,0.015915172
24,0.511822,0.42545193,0.0105952695,0.4290411,0.5735386,0.0069710766,0.37716994,0.554719,0.003766049,0.5038018,0.6119643,0.002537103,0.6059301,0.52057076,0.046007022,0.46778256,0.68604845,0.01594963
25,0.5118343,0.4253784,0.01058224,0.42901024,0.5734894,0.006966552,0.37719202,0.55472267,0.0037725074,0.50380474,0.6119107,0.002540963,0.6059689,0.52053446,0.045942325,0.46776876,0.68603325,0.015995353
26,0.5119319,0.42540163,0.010496018,0.42900318,0.57348996,0.0069672847,0.37721428,0.5547388,0.0037782732,0.5038135,0.6118881,0.0025433858,0.60599416,0.520528,0.046043266,0.46774465,0.6860457,0.016017111
27,0.5120127,0.42552543,0.010512205,0.42904148,0.57346123,0.0069765747,0.37719285,0.5547623,0.0037966226,0.50385183,0.61187613,0.002546471,0.6060236,0.52053213,0.04627236,0.46768612,0.6860593,0.01601699
28,0.5120445,0.42555362,0.010498004,0.42905596,0.573412,0.0070016133,0.3772677,0.5547842,0.0038006324,0.5038382,0.61177945,0.0025559005,0.60604465,0.5205767,0.04667955,0.4676176,0.6860746,0.016048787
29,0.51203203,0.42556646,0.010537497,0.42905,0.5733648,0.0069946186,0.37724024,0.55479544,0.0038001344,0.50386643,0.611735,0.00255276,0.6060653,0.52058446,0.046918936,0.46757582,0.6860877,0.016020026
30,0.51212484,0.42556176,0.010475239,0.42905802,0.5733719,0.0070168003,0.37732893,0.5547942,0.0037982624,0.50388354,0.61167324,0.0025521298,0.60610265,0.5205985,0.04715457,0.46754652,0.6860922,0.016002772
