frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
0,0.5276119,0.40110156,0.008293183,0.44691917,0.5770176,0.004354304,0.37544107,0.5702749,0.0026310047,0.5299297,0.4554239,0.008462035,0.6053298,0.5312019,0.027460232,0.45617002,0.67401105,0.0135620395
1,0.527385,0.40137172,0.008317402,0.42874318,0.57701063,0.004091519,0.3754336,0.5702005,0.002664807,0.5129116,0.4532476,0.008520096,0.6052993,0.5310879,0.027277678,0.45614886,0.6740524,0.013472388
2,0.52735007,0.4015699,0.008405872,0.42883155,0.57698494,0.004159294,0.37550873,0.57024044,0.0027393484,0.5138228,0.46758592,0.007974248,0.605242,0.53101003,0.027720984,0.45632112,0.6740278,0.013425866
3,0.52741593,0.40123135,0.008408584,0.4468967,0.57681906,0.0043535014,0.37547767,0.5701555,0.0027311044,0.5127558,0.4532447,0.008607544,0.60537565,0.53097975,0.027207438,0.45627463,0.6740442,0.01334744
4,0.527441,0.40104845,0.008335936,0.42886615,0.5770562,0.004101171,0.37533468,0.5702096,0.0027362395,0.5124241,0.45341426,0.008722422,0.60544693,0.5310738,0.027146604,0.4562466,0.6740873,0.013236297
5,0.5274642,0.40132695,0.008377307,0.42868063,0.5769551,0.0041140397,0.37516707,0.5701513,0.0027651885,0.51353264,0.46758154,0.008042437,0.60563505,0.5311334,0.027385803,0.4561307,0.6742525,0.013228763
6,0.52755463,0.40143293,0.008243622,0.42842042,0.5769108,0.0041154134,0.37519643,0.5703806,0.0028128992,0.51374805,0.46745273,0.008082517,0.6057594,0.5310537,0.027346538,0.45605174,0.67411935,0.0132308
7,0.5274536,0.40133402,0.008438713,0.42819268,0.5768849,0.0040619425,0.37464663,0.57026577,0.0027932597,0.5136438,0.4673831,0.008021201,0.6060632,0.5311369,0.0274074,0.4558208,0.6743465,0.01304431
8,0.5274465,0.4015459,0.008504046,0.42832398,0.5769197,0.0041458714,0.37476975,0.5704136,0.0028468545,0.51339036,0.4678783,0.008041662,0.6060531,0.53131336,0.027646776,0.45577914,0.6742595,0.013016407
9,0.52740026,0.40195614,0.008574561,0.42829412,0.57669413,0.0042236117,0.3749585,0.57039744,0.0029458366,0.5132998,0.46791092,0.008057184,0.60607386,0.53127724,0.027745754,0.455906,0.67415655,0.013083141
