frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
0,0.5885879,0.4774478,0.012740875,0.51559526,0.51412517,0.010364332,0.59894556,0.5124364,0.04656948,0.44863242,0.8335886,0.0044435337
1,0.58858585,0.47745287,0.012739494,0.5156041,0.5141388,0.010359375,0.5989416,0.5124343,0.046547305,0.44862935,0.83359486,0.0044436157
2,0.58849835,0.47729567,0.013066576,0.5158983,0.5141538,0.010625167,0.59890234,0.5124939,0.047693264,0.44854546,0.8339858,0.0042298054
3,0.5888569,0.4767785,0.013010498,0.51568496,0.51298404,0.010665575,0.5995723,0.5123876,0.048519064,0.43363616,0.836267,0.0032808536
4,0.5888518,0.47625598,0.012718546,0.51518214,0.51238775,0.010675685,0.6092219,0.51142883,0.049568795,0.43305516,0.8367436,0.003174354
5,0.58892107,0.47572815,0.012350115,0.5152402,0.51203465,0.010518715,0.6093879,0.5112515,0.048682716,0.43295187,0.83684444,0.0031559647
6,0.60381854,0.47600067,0.0118259145,0.5154988,0.51196337,0.010436687,0.6093757,0.51101774,0.048513386,0.43278944,0.8369496,0.0031070213
7,0.60382575,0.47600436,0.011826856,0.5155073,0.5119671,0.010433073,0.609381,0.5110155,0.048513066,0.4327917,0.8369506,0.0031069296
8,0.60402936,0.47539788,0.011500748,0.51574016,0.51163393,0.010362053,0.6095267,0.5109919,0.047773976,0.43139645,0.8558616,0.0028634695
9,0.60401756,0.4755423,0.01172928,0.5156607,0.51141346,0.010469384,0.6095679,0.5111094,0.04862198,0.43257946,0.837217,0.0030630091
10,0.589133,0.47467205,0.012077862,0.5156306,0.5113703,0.010663171,0.60965705,0.51126903,0.04911762,0.43264732,0.83726573,0.0030472716
11,0.5890795,0.47480112,0.012263862,0.51539737,0.5111669,0.011009426,0.60973316,0.5114132,0.049694538,0.43267983,0.8373055,0.003044546
12,0.5890441,0.47524643,0.012680157,0.5152879,0.5114614,0.011094304,0.6096601,0.51159626,0.050833635,0.43268558,0.83729076,0.0030531047
13,0.5890433,0.47524253,0.012677321,0.51528895,0.5114616,0.011094315,0.60966194,0.51159436,0.050823364,0.4326893,0.8372905,0.0030538903
14,0.58892363,0.4757812,0.013194069,0.5327709,0.51272213,0.010909409,0.59989256,0.5124402,0.05089504,0.43278855,0.837099,0.0031078928
15,0.5885164,0.47652474,0.013674875,0.5322821,0.5128514,0.011298314,0.5995963,0.512536,0.05170508,0.43283013,0.83689487,0.003201325
16,0.5884288,0.47710413,0.014034135,0.53215754,0.5132155,0.011145054,0.59951895,0.5126791,0.051972993,0.43294474,0.8367526,0.003258609
17,0.5886794,0.47698423,0.013832177,0.5324942,0.5134264,0.010922053,0.5995693,0.5127072,0.051401544,0.43315035,0.8365813,0.0032748
18,0.58887637,0.4762279,0.013427843,0.5328055,0.5130011,0.010825431,0.5997331,0.51255655,0.050688002,0.43312258,0.83671296,0.0032367043
19,0.5888758,0.47621816,0.013421043,0.5328061,0.51299053,0.010826127,0.5997381,0.5125536,0.050659638,0.43312475,0.8367097,0.0032378016
20,0.5889642,0.47600153,0.013252146,0.5328509,0.51305044,0.01089493,0.59980345,0.51263756,0.05088598,0.4329762,0.83691233,0.0031750726
21,0.58878034,0.4761708,0.013298141,0.53268266,0.5130621,0.010969199,0.59967697,0.5126615,0.050659444,0.432909,0.83699524,0.0031323067
22,0.5886709,0.47651538,0.013562589,0.5326085,0.5132486,0.010941697,0.59947777,0.5127268,0.051338285,0.43295154,0.8369716,0.0031327056
23,0.58864254,0.4767817,0.013746702,0.5326174,0.51327443,0.010977967,0.59941703,0.512785,0.052258123,0.4329478,0.8370065,0.0031300248
24,0.588654,0.476942,0.013742139,0.53261936,0.5135496,0.010808779,0.59941393,0.5128627,0.052085828,0.4329819,0.83696055,0.0031378367
25,0.5886557,0.47693425,0.013737544,0.53261906,0.51354307,0.010809613,0.59941715,0.5128601,0.05207554,0.43298107,0.83696073,0.0031382216
26,0.58869463,0.47688252,0.013686786,0.5326686,0.51366967,0.010704341,0.59944683,0.5128748,0.051855747,0.43300155,0.83692384,0.0031466463
27,0.58874553,0.47694635,0.013698932,0.5326746,0.513826,0.010627293,0.599467,0.5129009,0.05194897,0.4330072,0.8369063,0.003151935
28,0.5887509,0.4769539,0.013702567,0.53266555,0.5138151,0.010623158,0.59948325,0.5128922,0.051960602,0.43299925,0.83690864,0.00315367
29,0.58868444,0.47675622,0.0135560455,0.53268504,0.51352763,0.010712981,0.5995146,0.5128647,0.051568724,0.4329425,0.83698356,0.0031348893
30,0.5886086,0.47667217,0.013600228,0.53260565,0.5132797,0.0108463,0.599552,0.5128439,0.05178645,0.43286845,0.83704215,0.0031216994
31,0.58860415,0.47667718,0.013614207,0.53260356,0.5132799,0.010856234,0.59953886,0.5128435,0.051832713,0.43287382,0.8370381,0.0031207781
32,0.5886561,0.47652897,0.013578336,0.53260344,0.5129214,0.010922935,0.599623,0.5128007,0.05197377,0.43280613,0.8371108,0.0031081866
33,0.5885989,0.47659856,0.013691698,0.5325251,0.51305383,0.0109249735,0.5995673,0.51276344,0.05209939,0.43286505,0.83695656,0.0031545006
34,0.58873934,0.476482,0.013530823,0.5326419,0.5130311,0.010901072,0.5996564,0.5126557,0.051555213,0.43294924,0.8368597,0.0031853574
35,0.5885442,0.47679397,0.013706047,0.53256875,0.51318496,0.010901037,0.59952927,0.51282436,0.05161168,0.43302944,0.8367791,0.0032251843
36,0.5882529,0.476921,0.014034321,0.53228205,0.51328576,0.011052894,0.59945244,0.512785,0.05242517,0.43300074,0.83673435,0.0032427097
37,0.58825135,0.4769367,0.014045851,0.53228015,0.51329315,0.011056122,0.5994479,0.5127902,0.05244706,0.43299565,0.83673304,0.0032436023
38,0.5883738,0.47657678,0.014013643,0.5322727,0.5130545,0.011166248,0.59958434,0.5125443,0.0526746,0.43294653,0.8367926,0.0032388312
39,0.5886888,0.47585744,0.013488799,0.53254557,0.5127717,0.010792049,0.59980375,0.51244044,0.0517801,0.43291607,0.83685064,0.003213304
40,0.5888716,0.47544858,0.013148225,0.5150767,0.5113746,0.011086774,0.5998761,0.51221496,0.05077773,0.43289378,0.8369751,0.0031712474
41,0.58896106,0.47551247,0.013150656,0.5153526,0.51161516,0.010924031,0.59982175,0.51215255,0.050440874,0.4329032,0.83693653,0.0031757818
42,0.58907664,0.4755801,0.013073958,0.5155641,0.51180845,0.010837274,0.59974277,0.5121849,0.050361894,0.4329398,0.8368345,0.0031944714
43,0.58906984,0.4755861,0.013078605,0.5155592,0.51180893,0.010842299,0.5997398,0.5121855,0.05036248,0.43293694,0.8368318,0.0031948755
44,0.58909845,0.47572428,0.013046379,0.51564866,0.511886,0.010661772,0.59967995,0.512231,0.049963605,0.43290895,0.8368217,0.0031954856
45,0.5890583,0.47576156,0.012863128,0.5326101,0.52776045,0.009021579,0.6092724,0.51156527,0.05048664,0.43290892,0.8368108,0.0031925724
46,0.5889702,0.4757707,0.012682867,0.53264743,0.5278129,0.008962269,0.6093468,0.5115834,0.04962607,0.43292204,0.83680415,0.0031865567
47,0.58892393,0.47571927,0.012435082,0.5326917,0.52778643,0.008879761,0.6094776,0.5115537,0.048565622,0.43290478,0.8368032,0.0031818708
48,0.58890915,0.47584075,0.012256818,0.5327057,0.5278472,0.008800749,0.6095251,0.51152223,0.047744226,0.4329141,0.8367695,0.0031852773
49,0.5889123,0.475841,0.012253903,0.53271127,0.5278494,0.008797194,0.609528,0.51152176,0.04773703,0.432913,0.8367689,0.0031847444
50,0.5889262,0.4758614,0.01203276,0.53277975,0.5279046,0.008718622,0.6096279,0.5115046,0.046908244,0.4329147,0.83676165,0.0031877565
51,0.5889254,0.47596088,0.011884774,0.53279054,0.52788395,0.008715036,0.6096801,0.5114576,0.04636823,0.43297136,0.83676976,0.0031872445
52,0.58902466,0.47618085,0.011921058,0.53230125,0.5425429,0.0077600814,0.6096558,0.5114294,0.046118777,0.43297848,0.83679575,0.0031923281
53,0.5890173,0.47657982,0.012126943,0.53234804,0.54266673,0.0077487077,0.6095699,0.5114836,0.04603581,0.4329271,0.836843,0.0032024332
54,0.6036015,0.47779456,0.011942556,0.53245425,0.5429072,0.007707869,0.60953635,0.5115344,0.04599267,0.43288314,0.83687425,0.0031984837
55,0.6035985,0.4777959,0.011948082,0.53245157,0.54291105,0.0077093146,0.6095358,0.5115339,0.045999832,0.43288258,0.83687514,0.0031985673
56,0.5889906,0.47696707,0.012448164,0.5324077,0.5429616,0.0077458518,0.6094918,0.5115002,0.0464121,0.4328645,0.8369174,0.0031904595
57,0.58894765,0.4769035,0.012587502,0.49677074,0.54102236,0.00914426,0.5997124,0.5121391,0.045188557,0.43321958,0.81945646,0.0032998521
58,0.5888671,0.47683936,0.012721408,0.4966042,0.5408194,0.009274478,0.59969634,0.51201516,0.045435745,0.43312654,0.81953824,0.0032906826
59,0.58875304,0.47678483,0.012825632,0.4964896,0.5407743,0.009398062,0.5996073,0.5119211,0.045693398,0.4330921,0.81953555,0.003306337
60,0.60317355,0.47739282,0.012197895,0.49621928,0.54074097,0.0092607215,0.6095492,0.51114357,0.046275117,0.4330442,0.8195478,0.003302295
61,0.603173,0.47740135,0.012201009,0.4962219,0.5407463,0.009259063,0.6095417,0.5111482,0.046286426,0.43304563,0.81955725,0.003296935
62,0.60313326,0.4772363,0.012049657,0.49673012,0.52604425,0.010134755,0.60955036,0.51102793,0.04586669,0.43298814,0.8195458,0.003313282
63,0.6031421,0.47708634,0.011923453,0.49666628,0.52610093,0.010204985,0.60951066,0.5108622,0.04578219,0.43261513,0.8370763,0.00319983
64,0.60322464,0.47677553,0.011721069,0.49661976,0.52590275,0.010304853,0.6095696,0.5107233,0.045625295,0.4325461,0.8371513,0.0031888327
65,0.60322297,0.4767212,0.01166284,0.49656987,0.52584994,0.010443559,0.60953295,0.5106364,0.045807313,0.43250173,0.8371617,0.0031867428
66,0.588479,0.4760449,0.011915595,0.4965386,0.5259248,0.010573731,0.6093858,0.5106235,0.046017867,0.43248728,0.83712214,0.0032027175
67,0.58847964,0.47604388,0.011917078,0.49653858,0.5259293,0.010573057,0.60938495,0.51062363,0.046021707,0.4324882,0.8371223,0.0032031941
68,0.58835596,0.47634348,0.012230791,0.4964606,0.52609384,0.010739692,0.5992585,0.5113002,0.045356464,0.43250036,0.8370464,0.0032301375
69,0.5882547,0.4764454,0.012330784,0.4964221,0.52621466,0.010831413,0.59913003,0.5112794,0.045604188,0.43251154,0.8370117,0.003237429
70,0.58819824,0.47659457,0.012440253,0.4963949,0.5262902,0.010843159,0.5990449,0.5112922,0.045932725,0.432539,0.8369639,0.0032435635
71,0.58815956,0.47661868,0.012508975,0.4963667,0.52627265,0.010877078,0.59902096,0.511285,0.04617406,0.43253636,0.83695364,0.0032448391
72,0.588178,0.47663185,0.012502879,0.49639553,0.52629334,0.010869683,0.59902406,0.5112827,0.046180468,0.43256205,0.8369353,0.0032481502
73,0.58817923,0.47662696,0.012505329,0.49639598,0.52629054,0.010872303,0.59902567,0.51127994,0.046194375,0.43256095,0.8369359,0.0032477782
74,0.58818555,0.47663072,0.012509257,0.49638873,0.52625996,0.01087659,0.5990381,0.51127493,0.04620083,0.43258035,0.83693916,0.00324805
75,0.58819366,0.47661728,0.012482961,0.49637106,0.52624583,0.010866668,0.5990615,0.5112897,0.046116445,0.43259388,0.8369399,0.0032437053
76,0.58817744,0.47666106,0.0124968,0.49638328,0.5262396,0.010868662,0.5990437,0.5113159,0.046079792,0.43258357,0.83695537,0.003241312
77,0.5882019,0.47664735,0.012489099,0.49639097,0.5262221,0.010838255,0.5990601,0.51131207,0.046030786,0.43257844,0.83697385,0.0032413783
78,0.58825636,0.47650495,0.012411638,0.49638,0.5261984,0.010802815,0.59915864,0.51130164,0.0458643,0.43255147,0.8369876,0.0032387157
79,0.5882581,0.47650263,0.012409833,0.49637923,0.5261997,0.010803227,0.59916013,0.51130205,0.045863625,0.43254992,0.83698916,0.0032386049
80,0.5883516,0.4763132,0.012121009,0.49645415,0.52608234,0.010644443,0.6092835,0.5106551,0.04636099,0.43255958,0.837038,0.0032276453
81,0.58845717,0.47611773,0.011897217,0.4965026,0.5259066,0.010508655,0.6094946,0.5106647,0.04581279,0.43257546,0.8370854,0.0032067802
82,0.6031836,0.4766254,0.011547815,0.49648726,0.52571493,0.010435043,0.60969704,0.51070637,0.045299806,0.43261078,0.8371168,0.0031872184
83,0.60314846,0.476784,0.0115633495,0.4965457,0.5258432,0.010308224,0.6097677,0.51085293,0.045036674,0.43268362,0.8370752,0.0031900955
84,0.60316026,0.47710744,0.011725555,0.4967392,0.5259599,0.010148216,0.6097247,0.51103365,0.045462117,0.4330931,0.8194752,0.0033072091
85,0.60315955,0.47710627,0.011723584,0.49673745,0.52596223,0.010148182,0.6097252,0.51103425,0.04545563,0.4330943,0.8194754,0.0033073209
86,0.58857065,0.4765956,0.012184602,0.5145888,0.527078,0.009379037,0.6096467,0.5113718,0.046187934,0.43318856,0.819416,0.0033171372
