frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
0,0.46928972,0.4953979,0.009822021,0.7049322,0.5969236,0.019211695,0.43970442,0.7189442,0.0059259776,0.39789167,0.9662328,0.016360229
1,0.46865305,0.4952831,0.00926902,0.7049903,0.5973316,0.019167352,0.43614686,0.70046455,0.004323739,0.39991182,0.960978,0.0135467965
2,0.5821032,0.4540509,0.006127507,0.7060195,0.5833934,0.020399997,0.43740192,0.7002326,0.003975201,0.37705526,0.9642529,0.013983711
3,0.58230644,0.45369798,0.0062003927,0.70469123,0.58392143,0.021212878,0.6584,0.5321944,0.03103538,0.39835533,0.97433454,0.015753398
4,0.5827621,0.45384827,0.0061549344,0.70410913,0.58430815,0.021017201,0.6583738,0.53211266,0.03077805,0.39825886,0.9744755,0.01561322
5,0.5827532,0.45393875,0.006165891,0.7040792,0.5845032,0.020756753,0.6591005,0.54360545,0.028942404,0.398122,0.974707,0.015430854
6,0.5829058,0.45375085,0.0061845356,0.7038078,0.58462244,0.020568956,0.6590898,0.5438796,0.028652199,0.39804593,0.97486067,0.015306147
7,0.5836075,0.45372948,0.006338222,0.70375824,0.58461016,0.020252995,0.6591843,0.5437663,0.028949037,0.39803702,0.9747907,0.015454809
8,0.58380836,0.4536854,0.006400039,0.70392317,0.58463013,0.020083508,0.65905595,0.54384154,0.02882478,0.39809662,0.9747148,0.015396972
9,0.5837614,0.4535982,0.006279467,0.7040305,0.5846915,0.019980263,0.6591171,0.5440001,0.028368428,0.39806548,0.97455347,0.015487382
10,0.46719238,0.51090014,0.0105016455,0.70409036,0.5847968,0.019810705,0.65891826,0.5440807,0.028213307,0.39787686,0.974343,0.015467496
11,0.5840672,0.45417917,0.0059847995,0.70442086,0.5845925,0.01974393,0.6585912,0.5325085,0.02940555,0.39780945,0.9739065,0.015850151
12,0.58414924,0.45510796,0.00609942,0.7048108,0.5844395,0.019580249,0.65892345,0.53277445,0.030446319,0.39804402,0.97334343,0.016398493
13,0.5840443,0.45565143,0.0063847736,0.7050878,0.5845146,0.019354641,0.44973153,0.70032215,0.0037092047,0.3981009,0.97282344,0.016913032
14,0.5448878,0.45441002,0.0067660133,0.7057167,0.58455724,0.01897304,0.45030972,0.70067257,0.0039947117,0.39827478,0.9723174,0.01731784
15,0.583537,0.44140682,0.0058797696,0.7052665,0.585217,0.018971177,0.45085323,0.7007983,0.004254379,0.40985072,0.8802235,0.0039821547
16,0.58371735,0.4405913,0.0057321764,0.70452535,0.58529264,0.019415721,0.4507008,0.70030546,0.0039270683,0.39819005,0.973237,0.015964739
17,0.5833076,0.44062835,0.0055840365,0.7042487,0.58514935,0.019414747,0.65923333,0.54411036,0.028240094,0.3977975,0.9735487,0.015768455
18,0.58342636,0.45531732,0.006340799,0.7044787,0.5849379,0.019361,0.45054653,0.7000161,0.003733946,0.39777124,0.9734679,0.015880728
19,0.58435977,0.45604956,0.006636546,0.7044052,0.5850146,0.019247068,0.6401324,0.5193133,0.030772902,0.39791065,0.97325426,0.01598659
20,0.5846386,0.45633805,0.0067554563,0.7044799,0.58522415,0.019056479,0.63996714,0.5192393,0.031535804,0.39797845,0.97325516,0.016024755
21,0.5847512,0.4562517,0.0068053617,0.704267,0.58537734,0.01903631,0.6399177,0.51918805,0.031433627,0.39796597,0.973313,0.015985008
22,0.58499485,0.45639595,0.006886258,0.7043776,0.58542997,0.01895075,0.6398075,0.519081,0.032280114,0.39801377,0.9733127,0.01600205
23,0.5848758,0.45639414,0.006884413,0.70443976,0.58537626,0.01901649,0.6398399,0.5191966,0.032101095,0.39804912,0.9733658,0.016004143
24,0.58438283,0.45604065,0.0067644333,0.70430064,0.5852445,0.019234221,0.6400489,0.5194192,0.031161921,0.39794937,0.9734329,0.015918666
25,0.5840365,0.4556039,0.0065642362,0.70407814,0.58513933,0.019308293,0.65832776,0.5323902,0.030293219,0.3978661,0.97368705,0.01577511
