frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0.4463461,0.3778335,0.6196867,0.43022713,0.44984135,0.2698795,0.45962918,0.52444214,0.19249009,0.45568788,0.5211662,0.46320155,0.45722258,0.63807213,0.47170457,0.46257603,0.75129575,0.49869326,0.51696676,0.37539816,0.50125825,0.5542292,0.44821736,0.30502418,0.5316578,0.51973504,0.39149994,0.51025414,0.52141166,0.5603238,0.5060126,0.63843066,0.65368444,0.50820106,0.7503063,0.4368471
2,0.43861884,0.38383695,0.5425219,0.4225589,0.4492892,0.30664197,0.4411893,0.51658815,0.3236121,0.45117742,0.52073944,0.546876,0.4592358,0.63961315,0.63104576,0.4578113,0.7508129,0.53534776,0.5196582,0.37699234,0.5544281,0.55469507,0.4467669,0.3260923,0.5483833,0.51167524,0.23063822,0.51246023,0.51902044,0.56858104,0.5068151,0.6392331,0.6607972,0.51032346,0.7503915,0.44217253
3,0.44073844,0.38469714,0.6176774,0.41795856,0.4510206,0.3517231,0.43079993,0.5286631,0.23927687,0.45108157,0.5273815,0.58312744,0.4552859,0.64621586,0.62378305,0.45370638,0.74923795,0.3962546,0.5253228,0.38151094,0.5937981,0.55290985,0.45557678,0.32927608,0.5343674,0.52498317,0.37310997,0.51419646,0.52607775,0.5995424,0.50770915,0.6381684,0.51976067,0.512082,0.75070256,0.39950803
4,0.44151855,0.38444465,0.61709535,0.41772795,0.45092493,0.34020436,0.43111202,0.52814,0.23316778,0.4513181,0.52757096,0.5815752,0.4554156,0.6450754,0.6177284,0.45396122,0.7488157,0.390811,0.52562493,0.38112515,0.5802204,0.5528722,0.45527,0.32053936,0.5342008,0.5239334,0.36918843,0.5142838,0.5264747,0.5980136,0.5079948,0.6374327,0.51419306,0.5119076,0.7506629,0.39157432
5,0.4449421,0.3807637,0.6372453,0.42275107,0.45040643,0.24724458,0.44567713,0.52373827,0.20351978,0.45207024,0.5253823,0.53581476,0.4579087,0.6406219,0.60804605,0.45883247,0.7483963,0.45510054,0.5201631,0.3787883,0.51676315,0.55191755,0.45022267,0.3192068,0.5395552,0.525843,0.37401506,0.51242113,0.5242802,0.53903466,0.5049685,0.6409533,0.6179829,0.50913703,0.7503227,0.36588344
6,0.45590156,0.37920374,0.6031763,0.44238827,0.45494097,0.282904,0.4566551,0.5122551,0.20260087,0.46272227,0.5256698,0.5345429,0.4657709,0.63644576,0.50036144,0.4655416,0.74771875,0.41620338,0.5092318,0.37839663,0.6273411,0.54326767,0.44507957,0.26989743,0.5595213,0.52742374,0.27605635,0.50315005,0.52651197,0.5179278,0.4994071,0.6353557,0.4560792,0.50164306,0.7505897,0.3871494
7,0.4691925,0.37688267,0.5215783,0.47653648,0.45429242,0.23637407,0.5125594,0.5102818,0.21831357,0.47362635,0.5189404,0.51917416,0.47648057,0.6312309,0.4362842,0.48500785,0.7469525,0.42988542,0.49714923,0.37701833,0.53124446,0.535377,0.44953728,0.2934141,0.5359936,0.5078821,0.23656937,0.4895588,0.51965266,0.5505724,0.4910022,0.63226736,0.5276036,0.4814732,0.74950254,0.37520275
8,0.49053943,0.3653459,0.5433033,0.5230079,0.44020888,0.19461508,0.54367054,0.5018387,0.2610199,0.4982177,0.5023346,0.4620575,0.49493665,0.62559575,0.51060975,0.5060831,0.74971724,0.5461582,0.4686454,0.36996266,0.5849757,0.4671007,0.4389859,0.21749341,0.48647794,0.49511176,0.14253184,0.48217374,0.5070409,0.5432647,0.47696537,0.6260717,0.45834887,0.46766397,0.748608,0.46259677
9,0.48756525,0.36119157,0.5145596,0.5499428,0.44058692,0.21616362,0.5374838,0.47595045,0.14384738,0.5015742,0.50250995,0.4459851,0.49357837,0.6315949,0.5277446,0.5056779,0.7513144,0.54029566,0.46539912,0.36673936,0.5946157,0.4583856,0.44660264,0.19565023,0.47390127,0.4874576,0.16651344,0.46900463,0.50627404,0.50656044,0.47221574,0.629825,0.42249644,0.4656871,0.74523354,0.4819525
10,0.47259492,0.36130416,0.52057475,0.49519145,0.4393034,0.19622983,0.49567813,0.4938478,0.1885876,0.48674008,0.5053523,0.5100897,0.48659277,0.6304771,0.47723314,0.50176674,0.75220126,0.5039027,0.48844382,0.36605972,0.5875885,0.49075955,0.44798583,0.22009781,0.5072102,0.50621706,0.1836126,0.48780167,0.50714016,0.53514445,0.48391554,0.63028294,0.51213294,0.4716565,0.74958485,0.3962543
