frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0.69921124,0.48612928,0.33547375,0.7189588,0.6524954,0.5963002,0.71770275,0.7499592,0.39469317,0.7734387,0.86719674,0.49911913,0.64396,0.48224828,0.36739895,0.67099035,0.64982677,0.5326702,0.6824337,0.74487126,0.4549152,0.74902034,0.83522934,0.31287464
2,0.6908468,0.49629337,0.42223775,0.7077302,0.6658851,0.4944527,0.7071514,0.75171804,0.34799805,0.77067816,0.86278737,0.46057835,0.6542827,0.48777577,0.40553328,0.6727587,0.6602583,0.52125186,0.6659655,0.74448586,0.40490183,0.744605,0.8357495,0.33597693
3,0.70022744,0.47769976,0.33817255,0.6995363,0.6688969,0.5183337,0.7208935,0.7584576,0.19838998,0.75755966,0.8593854,0.4127626,0.6596762,0.4727707,0.35463136,0.6542012,0.66970605,0.46695095,0.6333648,0.74546087,0.42958266,0.73148084,0.8489155,0.37715203
4,0.7005867,0.47878954,0.3368565,0.69940627,0.6668598,0.4977216,0.721678,0.7585324,0.19762245,0.75679183,0.86016744,0.40353286,0.65535426,0.4767294,0.2606645,0.6541505,0.6681044,0.4571671,0.6343572,0.7463151,0.39964384,0.7315476,0.84927744,0.36680633
5,0.7169728,0.49405432,0.27047092,0.71658295,0.64845335,0.45524314,0.7186754,0.7334347,0.45461506,0.76931214,0.8605963,0.4078246,0.6453511,0.5031245,0.28085616,0.6554982,0.6538888,0.44275331,0.61137974,0.7309825,0.40878117,0.69998646,0.8517618,0.36301503
6,0.7119197,0.45629138,0.5064078,0.7232775,0.6184533,0.57959,0.62025905,0.71065605,0.40746152,0.6519205,0.86652774,0.6011893,0.6531822,0.4559829,0.51794523,0.6840884,0.61768806,0.50069046,0.69520915,0.7198426,0.29509097,0.7813243,0.8465964,0.5317623
7,0.7106492,0.46263427,0.5671232,0.7037983,0.6346185,0.6031401,0.622447,0.7205922,0.43341815,0.6018586,0.86752105,0.33939663,0.6520212,0.45890063,0.31267062,0.67815465,0.6352267,0.53805226,0.7097379,0.73100936,0.3899684,0.77980316,0.84413475,0.50440407
8,0.71317476,0.46895832,0.63490236,0.7065134,0.6336304,0.5784972,0.6088783,0.7361692,0.41910526,0.5532927,0.871793,0.4687521,0.65816444,0.46713746,0.43445683,0.68165916,0.6343499,0.54967237,0.7233631,0.73949665,0.3989969,0.7936465,0.8538851,0.41642764
9,0.70856845,0.46885276,0.5387407,0.6920724,0.6381846,0.5793156,0.5887727,0.74965733,0.38645998,0.5085138,0.87587017,0.42970082,0.6594349,0.46789122,0.4043933,0.67560565,0.640524,0.4434975,0.71525204,0.74103874,0.42224815,0.7968695,0.85570455,0.39571023
10,0.7078694,0.47035426,0.5280413,0.6899272,0.6369178,0.55558723,0.5873339,0.74917954,0.38832065,0.5095928,0.8756002,0.44327125,0.66509354,0.4687711,0.37673834,0.6770234,0.6402211,0.43354657,0.7173495,0.74198437,0.4321155,0.7910472,0.8553087,0.4463496
