frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0.7544526,0.47691268,0.42439955,0.77160466,0.60474634,0.3156151,0.7846749,0.7377522,0.24784347,0.8006324,0.84660524,0.44639936,0.6744274,0.46036717,0.38181123,0.7134174,0.60567284,0.2965518,0.67281616,0.70852274,0.24891038,0.76955724,0.8305638,0.27691105
2,0.7369563,0.47426766,0.35818544,0.7347096,0.6153161,0.32735857,0.748844,0.7408365,0.19444345,0.7793707,0.8454751,0.27611202,0.67103,0.46161634,0.36446968,0.6879634,0.62590003,0.30906558,0.6739714,0.70941377,0.23962803,0.77445865,0.8357917,0.24116166
3,0.7346519,0.47325456,0.343659,0.73060334,0.6258757,0.28181684,0.74716806,0.741431,0.18961568,0.78437877,0.85047865,0.37326264,0.6731658,0.462384,0.36396304,0.6898931,0.6269733,0.3110732,0.6756253,0.70984674,0.22372392,0.7756826,0.83577585,0.23949003
4,0.6639421,0.47244844,0.40619835,0.6816342,0.6248355,0.5155387,0.71259826,0.7386488,0.32801968,0.77348435,0.8577242,0.3742556,0.75435734,0.47245368,0.42599723,0.75445724,0.6243654,0.42937213,0.7783265,0.7368429,0.39824685,0.80652845,0.8414866,0.37008563
5,0.6461416,0.4760284,0.3653275,0.6826417,0.6319437,0.54596287,0.72017497,0.7376393,0.31066164,0.7692678,0.85088015,0.39729127,0.74799585,0.46772847,0.38873845,0.75466347,0.6258124,0.41498,0.7838344,0.7318828,0.33882323,0.8039175,0.84091306,0.35170075
6,0.6381054,0.4870838,0.4183191,0.6776106,0.63055354,0.55965495,0.7376546,0.7521138,0.34534007,0.77140415,0.85307777,0.33057407,0.759542,0.4750533,0.4168544,0.75685906,0.6225513,0.47106645,0.78711647,0.7446615,0.46175638,0.8019873,0.84955853,0.35423154
7,0.6362742,0.4867855,0.41368094,0.6810323,0.6308254,0.5520759,0.7442261,0.75923157,0.30738533,0.7779887,0.86172116,0.38582423,0.7553165,0.48169813,0.43688655,0.76145047,0.6231099,0.4958105,0.7853577,0.75971484,0.38562226,0.79980373,0.85672116,0.25784633
8,0.6368438,0.4863109,0.40353602,0.6796321,0.6238862,0.50739044,0.726793,0.74167514,0.3266229,0.7790699,0.860737,0.4450186,0.7552847,0.47672504,0.38943216,0.7599184,0.61616766,0.4016209,0.7736324,0.7473289,0.377898,0.79853815,0.85693705,0.28434512
9,0.6370187,0.48619807,0.40441516,0.6800945,0.62432736,0.5186389,0.7277578,0.7422867,0.3154293,0.779473,0.8612393,0.4455313,0.7547107,0.4764267,0.38730234,0.75999737,0.6163254,0.40737998,0.77376163,0.74747574,0.38512123,0.79872215,0.8568329,0.2878654
10,0.63686275,0.4814831,0.40454677,0.6846008,0.62430555,0.502061,0.7304059,0.7400147,0.38428906,0.7814333,0.8536794,0.4583864,0.750798,0.47287518,0.38158327,0.7609385,0.6163533,0.43127865,0.75832367,0.74282545,0.3837673,0.7840609,0.8462106,0.35517558
