frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
1,0.68366647,0.32694602,0.6367931,0.6690068,0.32935703,0.47238377,0.7054951,0.33970654,0.27283838,0.56053805,0.47546428,0.30572757,0.6580558,0.6328261,0.32346806,0.70161545,0.79445744,0.301677
2,0.6826343,0.32652578,0.64143634,0.6676817,0.32944974,0.44704622,0.537441,0.4124921,0.24504873,0.57949,0.4783388,0.29647806,0.655995,0.63175845,0.35214034,0.69245166,0.7931837,0.2362097
3,0.6838736,0.32749385,0.636346,0.66824096,0.33058688,0.46351004,0.5365368,0.41251308,0.24957785,0.5621331,0.47629112,0.3246176,0.65432036,0.6315472,0.35969844,0.69244117,0.7924371,0.23643185
4,0.67685544,0.32209325,0.621865,0.6666944,0.32985526,0.37413064,0.54778636,0.4099428,0.24090679,0.60265183,0.4933283,0.2711411,0.6576644,0.6320138,0.38400656,0.68737763,0.7954914,0.2843093
5,0.6761563,0.31779262,0.5602015,0.66430557,0.3258295,0.34285107,0.5485214,0.40528834,0.24671449,0.58218026,0.47661865,0.24784131,0.6558659,0.62754494,0.38454503,0.6876421,0.7951774,0.29946604
6,0.68203926,0.32450563,0.5711582,0.66734505,0.3260834,0.33522624,0.5523609,0.40798947,0.26699263,0.5584805,0.4712549,0.26167575,0.6760804,0.62297034,0.32068506,0.70714474,0.7947595,0.38173664
7,0.684039,0.32603565,0.4496173,0.5683419,0.3807968,0.09281,0.5530987,0.40796834,0.2268551,0.53092563,0.45996594,0.3380054,0.4514248,0.607908,0.06533238,0.1550983,0.7112855,0.43141153
8,0.68553615,0.33300337,0.3429274,0.56853735,0.38558167,0.06841573,0.55610657,0.40880048,0.17606376,0.5084907,0.46076924,0.28647453,0.5394525,0.423424,0.13760453,0.44950128,0.60780543,0.060467113
9,0.68009675,0.3316115,0.35735184,0.66856545,0.32409066,0.2916087,0.5566197,0.40650547,0.28678253,0.52612084,0.4610097,0.2698885,0.6895096,0.62214816,0.25260827,0.7090677,0.7958882,0.3373014
10,0.6857207,0.31821164,0.6189363,0.5819663,0.39486504,0.1816501,0.5490796,0.40997362,0.28807217,0.55997443,0.48269838,0.291203,0.6773316,0.6390898,0.267107,0.70772254,0.79626054,0.31165802
11,0.69354486,0.32152376,0.5470493,0.6737291,0.33079153,0.289927,0.5542868,0.4105916,0.24728194,0.5185625,0.46229884,0.38094583,0.6731466,0.6217725,0.2634605,0.7071514,0.7958624,0.34535727
12,0.68952024,0.32336658,0.593202,0.66877186,0.33789027,0.26513308,0.5502082,0.4109239,0.26368454,0.53439146,0.4770502,0.2969306,0.6729948,0.6331838,0.28713733,0.70610297,0.7961167,0.34908944
13,0.69366646,0.33521366,0.4001318,0.6718568,0.33006546,0.26533994,0.5531472,0.40817422,0.18924981,0.5319177,0.46273685,0.2544146,0.6741967,0.632788,0.24216272,0.7075402,0.7969533,0.31980076
14,0.69814885,0.36349878,0.21431607,0.67524093,0.32334816,0.19919081,0.7201147,0.35142177,0.24932553,0.4935453,0.46381587,0.37337086,0.39214826,0.5245483,0.073593944,0.1659854,0.7127205,0.42620182
15,0.689662,0.34228,0.27137265,0.66766393,0.32105654,0.22657521,0.7105622,0.3482129,0.20230636,0.4967606,0.4670808,0.43294778,0.65575296,0.33207488,0.3799168,0.70844764,0.79456776,0.40688145
16,0.6907033,0.32833576,0.37466964,0.5714993,0.3767494,0.084723786,0.5534065,0.40786442,0.123832695,0.5112241,0.46156248,0.35759574,0.6889024,0.6068661,0.25721186,0.709411,0.7957663,0.4245005
17,0.6931073,0.3187872,0.5036013,0.6696052,0.33690473,0.32394055,0.5776423,0.4044828,0.14107701,0.5096094,0.46497697,0.3553071,0.42824423,0.5661333,0.089380875,0.4210118,0.6030134,0.056989543
