frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
1,0.46284974,0.2775054,0.8314817,0.49249074,0.5161493,0.7570097,0.4185042,0.7101898,0.7289895,0.46049124,0.8887603,0.5292185
2,0.462424,0.2772811,0.829094,0.49234527,0.5161966,0.7583274,0.41822165,0.7109388,0.7253256,0.46086702,0.88904256,0.5150367
3,0.46563572,0.26620814,0.7384966,0.49270532,0.50913084,0.8393791,0.418771,0.70949,0.7229086,0.4590385,0.8919124,0.67844105
4,0.46485662,0.26154482,0.8550368,0.49017662,0.5041011,0.8200415,0.419437,0.7096457,0.7074633,0.45980865,0.8933511,0.6377159
5,0.46756324,0.25699225,0.8278389,0.48375976,0.5010635,0.8042908,0.4208681,0.7094023,0.683012,0.45868194,0.8904998,0.64341575
6,0.46504802,0.24560307,0.7152986,0.47932184,0.4969327,0.72294873,0.4229787,0.70931834,0.63989896,0.4578265,0.8912395,0.6304777
7,0.47112197,0.24055898,0.81497055,0.4746884,0.49112508,0.6060287,0.4221505,0.70174396,0.64457613,0.45844743,0.8801073,0.5824731
8,0.4713241,0.24065243,0.80776495,0.47551036,0.4913889,0.7419269,0.42206794,0.70056933,0.6422978,0.4585403,0.8789785,0.5822149
9,0.4713219,0.24515806,0.7943179,0.47315723,0.48854324,0.6852456,0.4267417,0.6956619,0.7396373,0.4589295,0.87853336,0.572004
10,0.46758407,0.23729205,0.7963963,0.47173378,0.48040742,0.7229164,0.42918533,0.695116,0.6867283,0.45775664,0.87579453,0.51171726
11,0.46702558,0.23147228,0.75274056,0.46421358,0.4677871,0.6841203,0.43152404,0.6980196,0.59611344,0.45684764,0.8796787,0.4878255
12,0.46342558,0.22754204,0.6692991,0.4618895,0.45727533,0.64963907,0.4347796,0.6921181,0.5852121,0.4563608,0.8799364,0.4286427
13,0.46917403,0.22498213,0.76173097,0.46106073,0.45296514,0.62977284,0.44286093,0.6860384,0.5677719,0.4608941,0.87905455,0.26714897
14,0.4693534,0.22467539,0.7668307,0.46028072,0.45292008,0.6839843,0.44269657,0.6867801,0.5656341,0.46061224,0.8791246,0.27295542
15,0.46531993,0.22538678,0.5575523,0.4582581,0.45998046,0.55102015,0.4468584,0.69814676,0.51402366,0.46040636,0.8877212,0.21838368
16,0.4614691,0.22729588,0.55684745,0.45604688,0.47305542,0.5090843,0.44951975,0.70435536,0.6067297,0.46081755,0.88855255,0.22626333
17,0.4616171,0.22737531,0.53720754,0.45397887,0.4772718,0.48351166,0.44954073,0.7134415,0.45814714,0.45990568,0.8943341,0.18166222
18,0.46463335,0.22157201,0.619987,0.4538092,0.47024867,0.487656,0.45027596,0.7124037,0.44069004,0.46148905,0.8981929,0.14306603
19,0.46135816,0.22434416,0.63038766,0.46038935,0.4861165,0.5660404,0.450721,0.71844685,0.41438833,0.46175036,0.89452374,0.1656031
20,0.46149582,0.224096,0.6284612,0.4603908,0.4864063,0.57008797,0.45078522,0.71883124,0.40207803,0.4615413,0.8951413,0.15946493
21,0.45634145,0.22652034,0.5157764,0.46187752,0.49124295,0.59765834,0.45121783,0.72017455,0.33640304,0.46208605,0.89819515,0.13111018
